id,product_name,price,supplier,source,product_category,keyword,collection_time
1,鱼塘养殖水质监测仪 COD氨氮亚硝酸盐溶解氧PH在线分析仪 鸿光厂家,25000.0,南京鸿光环保科技有限公司,百度爱采购,其他,PH仪,2026-01-17
2,虹润 pH计在线监测仪水库河道工业电极污水ORP酸碱度水质分析检测,1020.0,福建顺昌虹润精密仪器有限公司,百度爱采购,其他,PH仪,2026-01-17
3,PH-3515F 172系列 - 投影仪 用于刀具行业的标准型,,蚌埠羽丰仪器设备有限公司,百度爱采购,其他,PH仪,2026-01-17
4,镐浓度/pH/游离氟在线分析仪 实时数据监测 智能加药系统,98000.0,上海禾工科学仪器有限公司,百度爱采购,其他,PH仪,2026-01-17
5,水质PH值传感器 变送器工业级 余氯监测复合电极酸碱度 ORP检测仪,623.0,山东中天宇信信息技术有限公司,百度爱采购,其他,PH仪,2026-01-17
6,PHSJ-4F型PH计 PH检测套装 台式PH仪 实验室酸度计,3553.0,青岛明博环保科技有限公司,百度爱采购,实验室,PH仪,2026-01-17
7,路博环保 工业在线PH仪 分辨率高 精度高 精准测量PH值,6000.0,青岛恒昌盛旭环保科技有限公司,百度爱采购,其他,PH仪,2026-01-17
8,SX711 PH检测仪 酸度检测仪 便携式PH仪 水质分析仪,1200.0,青岛明博环保科技有限公司,百度爱采购,其他,PH仪,2026-01-17
9,手持土壤检测仪器 鸣乔MQ-SCTR 便携式科研土壤检测仪 土壤PH检测仪,1200.0,山东鸣乔电子科技有限公司,百度爱采购,其他,PH仪,2026-01-17
10,般特PHscan30高精度笔式pH计 便携式标准型式PH仪,550.0,上海高致精密仪器有限公司,百度爱采购,其他,PH仪,2026-01-17
11,PH仪校准实验室中健计量第三方检测机构千斤顶,266.96,中健计量检测（广东）有限公司,百度爱采购,实验室,PH仪,2026-01-17
12,国产PH计玄仪PHT-6000A工业在线PH仪 酸碱度pH值测量仪表0-14pH,889.0,上海玄天环保科技有限公司,百度爱采购,其他,PH仪,2026-01-17
13,实验室PH计酸碱度测定仪 雷磁PHS-2F酸度计 台式PH仪,270.0,青岛辰飞环保科技有限公司,百度爱采购,实验室,PH仪,2026-01-17
14,手持式便携式PH/ORP计_操作简便PH仪_检测仪器配件,2000.0,青岛新业环保科技有限公司,百度爱采购,其他,PH仪,2026-01-17
15,美控品牌PH计酸度计 污水红黑数显电极式PH仪 精度0.5,4599.0,杭州美控自动化技术有限公司,百度爱采购,其他,PH仪,2026-01-17
16,水质ph/电导率综合测试仪 便携式PH酸度计 天尔TE-1800多参数测定仪,2500.0,天尔分析仪 ull有限公司,百度爱采购,其他,PH仪,2026-01-17
17,电导率电极头 便携式电导率仪 水质电导率检测 手持式PH测试仪,1368.0,海乐水质分析仪器（扬州）有限责任公司,百度爱采购,其他,PH仪,2026-01-17
18,HACH哈希CA9300在线PH仪 4-20mA输出Modbus485,7883.0,润凝实业（上海）有限公司,百度爱采购,其他,PH仪,2026-01-17
19,CL200+余氯检测仪 PH仪 游离氯测定仪 ORP测量仪,1600.0,青岛明博环保科技有限公司,百度爱采购,其他,PH仪,2026-01-17
20,代理德国DOSTMANN手持式PH仪 pH7 FOOD COND 70+ OXY 70 PC70+ DHS OXY7,9999.0,天津瑞思拜科技有限公司,百度爱采购,其他,PH仪,2026-01-17
21,联测 pH值自动监测仪工业在线PH仪ph计废水测量,849.0,杭州联测自动化技术有限公司,百度爱采购,其他,PH仪,2026-01-17
22,酸度计 ph数显酸度仪 电子PH仪 ph计测定仪 HI10482 HANNA,3630.0,佛山南北潮电子商务有限公司,百度爱采购,电子,PH仪,2026-01-17
23,华璟 台式多功能水质分析仪 多参数检测pH 值溶解氧浊度氨氮总磷总氮,5800.0,青岛华璟环保科技有限公司,百度爱采购,其他,PH仪,2026-01-17
24,供应 PH-II 手持式气象站 多参数气象观测仪 详情可咨询店内客服,2450.0,天津恒祥泰科技有限公司,百度爱采购,其他,PH仪,2026-01-17
25,日本微量样品pH计 PAL-pH 进口工业在线PH仪 ATAGO爱拓,6500.0,深圳岩濑商业股份有限公司,百度爱采购,其他,PH仪,2026-01-17
26,米科 ph指示控制器 0-14量程可选 多功能在线PH仪,5450.0,杭州米科传感技术有限公司,百度爱采购,其他,PH仪,2026-01-17
27,便携式酸度计 手持式PH计 多功能PH仪 型号：ZRX-31221,,北京中瑞祥科技有限公司,百度爱采购,其他,PH仪,2026-01-17
28,美华仪科技 仪在线PH计/PH仪 型号：MHY-YZY-FSB-163C,,北京美华仪科技有限公司,百度爱采购,其他,PH仪,2026-01-17
29,德国WTW便携式PH仪 PH 3110，适配SenTix41/SenTix81,1.0,厦门仪迈环保科技有限公司,百度爱采购,其他,PH仪,2026-01-17
30,扫描传真一体机办公设备出租 全新彩色复印机租赁 可送货上门,150.0,深圳市诚信达办公设备有限公司,百度爱采购,设备,一体机办公设备,2026-01-17
31,户外广告机 一体机办公设备声音品质好 库存现货,2800.0,南通中视同创科技有限公司,百度爱采购,设备,一体机办公设备,2026-01-17
32,远程会议河北会议一体机办公设备无线投屏白板批注,6800.0,石家庄达林科技有限公司,百度爱采购,设备,一体机办公设备,2026-01-17
33,黑白复印打印一体机设备 办公商用家用彩色复合机 快速高效,99.0,南京谷谷办公设备有限公司,百度爱采购,设备,一体机办公设备,2026-01-17
34,文教办公设备QL-ZZ L21Y立式双屏自助政务一体机订金,980.0,北京钱林恒兴科技股份有限公司,百度爱采购,设备,一体机办公设备,2026-01-17
35,茂 名IM C6000复合机出租 办公设备商用打印彩印一体机租赁,599.0,茂名市粤唯科技有限公司,百度爱采购,设备,一体机办公设备,2026-01-17
36,森克 智能多媒体设备 教学会议一体机 触摸会议办公一体机,2800.0,上海森克电子科技有限公司,百度爱采购,设备,一体机办公设备,2026-01-17
37,旗舰双线版 传真复印一体机 高效办公单位 机构优选设备,39900.0,广州先尚计算机科技有限公司,百度爱采购,设备,一体机办公设备,2026-01-17
38,亿恩设备A4普通纸传真机复印电话一体机中文显示多功能办公,469.8,阜阳亿恩仪器设备有限公司,百度爱采购,设备,一体机办公设备,2026-01-17
39,森克 65寸智能教学一体机办公培训电子白板智慧教室多媒体教学设备,3480.0,广州森克电子有限公司,百度爱采购,设备,一体机办公设备,2026-01-17
40,自助终端机 政务办理查询机 智慧业务办理终端设备 办公大厅一体机,1500.0,河北创赢智能科技有限公司,百度爱采购,设备,一体机办公设备,2026-01-17
41,办公设备租赁厂家 惠普 M429DW黑白激光一体机,90.0,广州忠泰办公设备有限公司,百度爱采购,设备,一体机办公设备,2026-01-17
42,济南办公设备会议室专用智能教学会议触摸一体机十指触摸无线投屏,4500.0,深圳市达林商显科技有限公司,百度爱采购,设备,一体机办公设备,2026-01-17
43,一体机出租 打印机租赁 乐讯办公设备 彩色数码复合机出租,300.0,佛山市禅城区江湾乐讯办公设备经营部,百度爱采购,设备,一体机办公设备,2026-01-17
44,自助政务服务终端设备办公大厅查询核验打印一体机自助终端机定制,3999.0,深圳市享安通科技有限公司,百度爱采购,设备,一体机办公设备,2026-01-17
45,云办公一体机 国产云桌面软件 瘦客户机设备供应,680.0,深圳市天源腾创科技有限公司,百度爱采购,设备,一体机办公设备,2026-01-17
46,绝对值 工控设备 政务金融办公 零售服务终端等行业 10.1寸安卓一体机,1250.0,苏州绝对值智能科技有限公司,百度爱采购,设备,一体机办公设备,2026-01-17
