id,product_name,keyword,price,supplier,address,description,product_category,collection_time,collection_time_2,supplier_2,created_at,updated_at
1,鱼塘养殖水质监测仪 COD氨氮亚硝酸盐溶解氧PH在线分析仪 鸿光厂家,PH仪,25000.0,南京鸿光环保科技有限公司,南京市江宁区禄口街道神舟路37号创智产业园A栋A1-006,类别：仪器仪表;环境检测仪器;水质分析仪器,其他,2026-01-17,2026-01-17,南京鸿光环保科技有限公司,2026-01-18 13:17:32,2026-01-18 13:17:32
2,虹润 pH计在线监测仪水库河道工业电极污水ORP酸碱度水质分析检测,PH仪,1020.0,福建顺昌虹润精密仪器有限公司,福建省顺昌县城南东路45号,类别：仪器仪表;行业专用仪器仪表;其它行业专用仪器仪表,其他,2026-01-17,2026-01-17,福建顺昌虹润精密仪器有限公司,2026-01-18 13:17:32,2026-01-18 13:17:32
3,PH-3515F 172系列 - 投影仪 用于刀具行业的标准型,PH仪,,蚌埠羽丰仪器设备有限公司,广东东莞,类别：仪器仪表;光学仪器;光学测量仪,其他,2026-01-17,2026-01-17,蚌埠羽丰仪器设备有限公司,2026-01-18 13:17:32,2026-01-18 13:17:32
4,镐浓度/pH/游离氟在线分析仪 实时数据监测 智能加药系统,PH仪,98000.0,上海禾工科学仪器有限公司,闵行区立跃路778号216-H座,类别：仪器仪表;行业专用仪器仪表;其它行业专用仪器仪表,其他,2026-01-17,2026-01-17,上海禾工科学仪器有限公司,2026-01-18 13:17:32,2026-01-18 13:17:32
5,水质PH值传感器 变送器工业级 余氯监测复合电极酸碱度 ORP检测仪,PH仪,623.0,山东中天宇信信息技术有限公司,山东省威海市火炬高技术产业开发区恒泰街-97-2号广源家具五楼东,类别：仪器仪表;环境检测仪器;水质分析仪器,其他,2026-01-17,2026-01-17,山东中天宇信信息技术有限公司,2026-01-18 13:17:32,2026-01-18 13:17:32
6,PHSJ-4F型PH计 PH检测套装 台式PH仪 实验室酸度计,PH仪,3553.0,青岛明博环保科技有限公司,山东青岛,类别：仪器仪表;环境检测仪器;水质分析仪器,实验室,2026-01-17,2026-01-17,青岛明博环保科技有限公司,2026-01-18 13:17:32,2026-01-18 13:17:32
7,路博环保 工业在线PH仪 分辨率高 精度高 精准测量PH值,PH仪,6000.0,青岛恒昌盛旭环保科技有限公司,山东省青岛市李沧区九水东路130-145号创新园3号楼1201-2室,类别：仪器仪表;环境检测仪器;其他环境检测仪器,其他,2026-01-17,2026-01-17,青岛恒昌盛旭环保科技有限公司,2026-01-18 13:17:32,2026-01-18 13:17:32
8,SX711 PH检测仪 酸度检测仪 便携式PH仪 水质分析仪,PH仪,1200.0,青岛明博环保科技有限公司,山东青岛,类别：仪器仪表;环境检测仪器;水质分析仪器,其他,2026-01-17,2026-01-17,青岛明博环保科技有限公司,2026-01-18 13:17:32,2026-01-18 13:17:32
9,手持土壤检测仪器 鸣乔MQ-SCTR 便携式科研土壤检测仪 土壤PH检测仪,PH仪,1200.0,山东鸣乔电子科技有限公司,山东省潍坊高新区清池街道商城社区健康街以北惠贤路以东现代家具商城普通家具市场楼1号楼7号，6号,类别：仪器仪表;环境检测仪器;土壤检测仪器,其他,2026-01-17,2026-01-17,山东鸣乔电子科技有限公司,2026-01-18 13:17:32,2026-01-18 13:17:32
10,般特PHscan30高精度笔式pH计 便携式标准型式PH仪,PH仪,550.0,上海高致精密仪器有限公司,上海,类别：仪器仪表;分析仪器;PH计,其他,2026-01-17,2026-01-17,上海高致精密仪器有限公司,2026-01-18 13:17:32,2026-01-18 13:17:32
11,PH仪校准实验室中健计量第三方检测机构千斤顶,PH仪,266.96,中健计量检测（广东）有限公司,广东深圳,类别：仪器仪表;分析仪器;PH计,实验室,2026-01-17,2026-01-17,中健计量检测（广东）有限公司,2026-01-18 13:17:32,2026-01-18 13:17:32
12,国产PH计玄仪PHT-6000A工业在线PH仪 酸碱度pH值测量仪表0-14pH,PH仪,889.0,上海玄天环保科技有限公司,上海市崇明区横沙乡富民支路58号9249室（上海横泰经济开发区）,类别：仪器仪表;分析仪器;PH计,其他,2026-01-17,2026-01-17,上海玄天环保科技有限公司,2026-01-18 13:17:32,2026-01-18 13:17:32
13,实验室PH计酸碱度测定仪 雷磁PHS-2F酸度计 台式PH仪,PH仪,270.0,青岛辰飞环保科技有限公司,山东省青岛市高新区火炬路97号青岛中关村信息谷创新中心2层211号,类别：仪器仪表;环境检测仪器;水质分析仪器,实验室,2026-01-17,2026-01-17,青岛辰飞环保科技有限公司,2026-01-18 13:17:32,2026-01-18 13:17:32
14,手持式便携式PH/ORP计_操作简便PH仪_检测仪器配件,PH仪,2000.0,青岛新业环保科技有限公司,山东省青岛市城阳区上马工业园青岛中超针织有限公司院内车间,类别：仪器仪表;分析仪器;其他分析仪器,其他,2026-01-17,2026-01-17,青岛新业环保科技有限公司,2026-01-18 13:17:32,2026-01-18 13:17:32
15,美控品牌PH计酸度计 污水红黑数显电极式PH仪 精度0.5,PH仪,4599.0,杭州美控自动化技术有限公司,浙江省杭州市钱塘新区白杨街道科技园路2号4幢501-502室,类别：仪器仪表;分析仪器;PH计,其他,2026-01-17,2026-01-17,杭州美控自动化技术有限公司,2026-01-18 13:17:32,2026-01-18 13:17:32
16,水质ph/电导率综合测试仪 便携式PH酸度计 天尔TE-1800多参数测定仪,PH仪,2500.0,天尔分析仪 ull有限公司,山东省德州市禹城市东城水木清华沿街32号门市3楼301室,类别：仪器仪表;环境检测仪器;水质分析仪器,其他,2026-01-17,2026-01-17,天尔分析仪 ull有限公司,2026-01-18 13:17:32,2026-01-18 13:17:32
17,电导率电极头 便携式电导率仪 水质电导率检测 手持式PH测试仪,PH仪,1368.0,海乐水质分析仪器（扬州）有限责任公司,高邮市捍海路204号4层,类别：仪器仪表;环境检测仪器;水质分析仪器,其他,2026-01-17,2026-01-17,海乐水质分析仪器（扬州）有限责任公司,2026-01-18 13:17:32,2026-01-18 13:17:32
18,HACH哈希CA9300在线PH仪 4-20mA输出Modbus485,PH仪,7883.0,润凝实业（上海）有限公司,上海市崇明区向化镇陈彷公路4925号101-31室（上海永冠经济开发区）,类别：仪器仪表;环境检测仪器;水质分析仪器,其他,2026-01-17,2026-01-17,润凝实业（上海）有限公司,2026-01-18 13:17:32,2026-01-18 13:17:32
19,CL200+余氯检测仪 PH仪 游离氯测定仪 ORP测量仪,PH仪,1600.0,青岛明博环保科技有限公司,山东青岛,类别：仪器仪表;环境检测仪器;水质分析仪器,其他,2026-01-17,2026-01-17,青岛明博环保科技有限公司,2026-01-18 13:17:32,2026-01-18 13:17:32
20,代理德国DOSTMANN手持式PH仪 pH7 FOOD COND 70+ OXY 70 PC70+ DHS OXY7,PH仪,9999.0,天津瑞思拜科技有限公司,天津市华苑产业区海泰大道42号B1号楼1206室,类别：仪器仪表;分析仪器;PH计,其他,2026-01-17,2026-01-17,天津瑞思拜科技有限公司,2026-01-18 13:17:32,2026-01-18 13:17:32
21,联测 pH值自动监测仪工业在线PH仪ph计废水测量,PH仪,849.0,杭州联测自动化技术有限公司,浙江省杭州经济技术开发区白杨街道科技园路2号4幢508-509室,类别：仪器仪表;分析仪器;PH计,其他,2026-01-17,2026-01-17,杭州联测自动化技术有限公司,2026-01-18 13:17:32,2026-01-18 13:17:32
22,酸度计 ph数显酸度仪 电子PH仪 ph计测定仪 HI10482 HANNA,PH仪,3630.0,佛山南北潮电子商务有限公司,佛山市禅城区祖庙街道同济路66号D座2202房,类别：仪器仪表;分析仪器;PH计,电子,2026-01-17,2026-01-17,佛山南北潮电子商务有限公司,2026-01-18 13:17:32,2026-01-18 13:17:32
23,华璟 台式多功能水质分析仪 多参数检测pH 值溶解氧浊度氨氮总磷总氮,PH仪,5800.0,青岛华璟环保科技有限公司,山东省青岛市高新区火炬路97号青岛中关村信息谷创新中心2层216A,类别：仪器仪表;环境检测仪器;其他环境检测仪器,其他,2026-01-17,2026-01-17,青岛华璟环保科技有限公司,2026-01-18 13:17:32,2026-01-18 13:17:32
24,供应 PH-II 手持式气象站 多参数气象观测仪 详情可咨询店内客服,PH仪,2450.0,天津恒祥泰科技有限公司,天津,类别：仪器仪表;环境检测仪器;气象站,其他,2026-01-17,2026-01-17,天津恒祥泰科技有限公司,2026-01-18 13:17:32,2026-01-18 13:17:32
25,日本微量样品pH计 PAL-pH 进口工业在线PH仪 ATAGO爱拓,PH仪,6500.0,深圳岩濑商业股份有限公司,深圳市龙华新区龙华街道梅龙大道906号创业楼902室,类别：仪器仪表;分析仪器;PH计,其他,2026-01-17,2026-01-17,深圳岩濑商业股份有限公司,2026-01-18 13:17:32,2026-01-18 13:17:32
26,米科 ph指示控制器 0-14量程可选 多功能在线PH仪,PH仪,5450.0,杭州米科传感技术有限公司,重庆,类别：仪器仪表;分析仪器;PH计,其他,2026-01-17,2026-01-17,杭州米科传感技术有限公司,2026-01-18 13:17:32,2026-01-18 13:17:32
27,便携式酸度计 手持式PH计 多功能PH仪 型号：ZRX-31221,PH仪,,北京中瑞祥科技有限公司,北京市门头沟区双峪路35号院2号20层2211,类别：仪器仪表;行业专用仪器仪表;其它行业专用仪器仪表,其他,2026-01-17,2026-01-17,北京中瑞祥科技有限公司,2026-01-18 13:17:32,2026-01-18 13:17:32
28,美华仪科技 仪在线PH计/PH仪 型号：MHY-YZY-FSB-163C,PH仪,,北京美华仪科技有限公司,北京,类别：仪器仪表;分析仪器;PH计,其他,2026-01-17,2026-01-17,北京美华仪科技有限公司,2026-01-18 13:17:32,2026-01-18 13:17:32
29,德国WTW便携式PH仪 PH 3110，适配SenTix41/SenTix81,PH仪,1.0,厦门仪迈环保科技有限公司,厦门市海沧区东孚镇天竺一里196号601室,类别：仪器仪表;分析仪器;PH计,其他,2026-01-17,2026-01-17,厦门仪迈环保科技有限公司,2026-01-18 13:17:32,2026-01-18 13:17:32
30,扫描传真一体机办公设备出租 全新彩色复印机租赁 可送货上门,一体机办公设备,150.0,深圳市诚信达办公设备有限公司,深圳市龙岗区坂田街道南坑社区麒麟路9号4栋极雅致厂房2层203室,类别：办公文教;办公设备;复印机,设备,2026-01-17,2026-01-17,深圳市诚信达办公设备有限公司,2026-01-18 13:17:32,2026-01-18 13:17:32
31,户外广告机 一体机办公设备声音品质好 库存现货,一体机办公设备,2800.0,南通中视同创科技有限公司,南通市崇川区通欣路109号3号楼二层西半区,类别：办公文教;办公设备;多功能一体机办公设备,设备,2026-01-17,2026-01-17,南通中视同创科技有限公司,2026-01-18 13:17:32,2026-01-18 13:17:32
32,远程会议河北会议一体机办公设备无线投屏白板批注,一体机办公设备,6800.0,石家庄达林科技有限公司,石家庄高新区长江大道280号院内厂区二楼,类别：办公文教;办公设备;多功能一体机办公设备,设备,2026-01-17,2026-01-17,石家庄达林科技有限公司,2026-01-18 13:17:32,2026-01-18 13:17:32
33,黑白复印打印一体机设备 办公商用家用彩色复合机 快速高效,一体机办公设备,99.0,南京谷谷办公设备有限公司,南京市江北新区园西路旭升花苑19幢4052室,类别：办公文教;办公设备;打印机配件,设备,2026-01-17,2026-01-17,南京谷谷办公设备有限公司,2026-01-18 13:17:32,2026-01-18 13:17:32
34,文教办公设备QL-ZZ L21Y立式双屏自助政务一体机订金,一体机办公设备,980.0,北京钱林恒兴科技股份有限公司,北京市丰台区花乡高立庄616号新华国际中心C座2层228室,类别：办公文教;办公设备;多功能一体机办公设备,设备,2026-01-17,2026-01-17,北京钱林恒兴科技股份有限公司,2026-01-18 13:17:32,2026-01-18 13:17:32
35,茂 名IM C6000复合机出租 办公设备商用打印彩印一体机租赁,一体机办公设备,599.0,茂名市粤唯科技有限公司,茂名市官山二路官南一街13号大院9号101、102房（住所信息自主申报）,类别：办公文教;办公设备;激光打印机,设备,2026-01-17,2026-01-17,茂名市粤唯科技有限公司,2026-01-18 13:17:32,2026-01-18 13:17:32
36,森克 智能多媒体设备 教学会议一体机 触摸会议办公一体机,一体机办公设备,2800.0,上海森克电子科技有限公司,上海市青浦区华浦路480号1幢一层106室,类别：办公文教;办公设备;多功能一体机办公设备,设备,2026-01-17,2026-01-17,上海森克电子科技有限公司,2026-01-18 13:17:32,2026-01-18 13:17:32
37,旗舰双线版 传真复印一体机 高效办公单位 机构优选设备,一体机办公设备,39900.0,广州先尚计算机科技有限公司,广州市天河区石牌西路8号2216房,类别：办公文教;办公设备;传真机,设备,2026-01-17,2026-01-17,广州先尚计算机科技有限公司,2026-01-18 13:17:32,2026-01-18 13:17:32
