id,project_name,contract_name,contract_amount,buyer,supplier,procurement_method
1,信息公告,信息公告,,未知,未知,公开招标
2,中山大学航空航天学院空间装备精密基准校验平台单元采购项目,中山大学航空航天学院空间装备精密基准校验平台单元采购项目,2386.8,中山大学,未知,公开招标
3,2025年超长期特别国债医疗设备（双能X射线骨密度仪）,2025年超长期特别国债医疗设备（双能X射线骨密度仪）,117.8,泸州市中医医院,未知,公开招标
4,2025年超长期特别国债医疗设备（数字化医用X射线摄影系统（DR））,2025年超长期特别国债医疗设备（数字化医用X射线摄影系统（DR））,107.0,泸州市中医医院,未知,公开招标
5,诸暨市老旧房屋动态监测服务采购,诸暨市老旧房屋动态监测服务采购,600.0,诸暨市住房和城乡建设局,未知,公开招标
6,腹腔镜及配套设备采购,腹腔镜及配套设备采购,260.0,辽宁省肿瘤医院,未知,公开招标
7,部分省道桥梁定期检查一标,部分省道桥梁定期检查一标,207.0,上海市道路运输事业发展中心,未知,公开招标
8,福建省环境监测中心站应急监测能力提升项目,福建省环境监测中心站应急监测能力提升项目,190.5,福建省环境监测中心站,未知,公开招标
9,超长期国债高水平公共研究平台设备更新项目-中医药创新研究科研平台创研采购项目1(二次),超长期国债高水平公共研究平台设备更新项目-中医药创新研究科研平台创研采购项目1(二次),1708.0,成都中医药大学,未知,公开招标
10,宁夏回族自治区森林病虫防治检疫总站宁夏林业有害生物监测预警及应急防控体系能力提升更新补充采购项目,宁夏回族自治区森林病虫防治检疫总站宁夏林业有害生物监测预警及应急防控体系能力提升更新补充采购项目,91.95,宁夏回族自治区森林病虫防治检疫总站,未知,公开招标
11,绩效智算中心预算绩效数据治理服务(二次),绩效智算中心预算绩效数据治理服务(二次),28.5,四川财经职业学院,未知,公开招标
12,天津大学精密仪器与光电子工程学院低压化学气相沉积采购项目（第三次）,天津大学精密仪器与光电子工程学院低压化学气相沉积采购项目（第三次）,140.0,天津大学,未知,公开招标
