id,project_name,contract_name,contract_amount,buyer,supplier,procurement_method
1,忠山院区第二住院大楼暨明康楼医疗辅助与环境消杀服务(二次),西南医科大学附属医院忠山院区第二住院大楼暨明康楼医疗辅助与环境消杀服务(二次)中标（成交）结果公告,1798128.0,西南医科大学附属医院,四川民吉物业服务有限公司,公开招标
2,2025年医疗设备第十五批(二次),西南医科大学附属医院2025年医疗设备第十五批(二次)中标（成交）结果公告,432.73,西南医科大学附属医院,未知,公开招标
3,国家税务总局陕西省税务局2025年互联网不动产登记集成办税、纳税缴费服务热线等系统运行维护项目,国家税务总局陕西省税务局2025年互联网不动产登记集成办税、纳税缴费服务热线等系统运行维护项目中标公告,716580.0,国家税务总局陕西省税务局,未知,公开招标
4,咸宁国家高新区集成电路低碳产业园项目产业规划中标成交公告,咸宁国家高新区集成电路低碳产业园项目产业规划中标成交公告,113.0,咸宁高新技术产业开发区管理委员会本级,中国电子工程设计院股份有限公司,公开招标
5,交管支队公安经费警务辅助人员服务采购项目中标结果公告,交管支队公安经费警务辅助人员服务采购项目中标结果公告,2245.26,鄂州市公安局交通管理局,武汉新鲜人人力资源有限公司,公开招标
6,国家税务总局陕西省税务局2025年电子税务局坐席服务项目,国家税务总局陕西省税务局2025年电子税务局坐席服务项目中标公告,3429800.0,国家税务总局陕西省税务局,方欣科技有限公司,公开招标
7,云南省五华监狱2026年罪犯生活物资采购（肉副食类）,云南省五华监狱2026年罪犯生活物资采购（肉副食类）中标公告,314.66,云南省五华监狱,云南镇雪商贸有限公司,公开招标
8,国家税务总局陕西省税务局2025年管理决策支持核算与分析等系统运行维护项目,国家税务总局陕西省税务局2025年管理决策支持核算与分析等系统运行维护项目中标公告,3345400.0,国家税务总局陕西省税务局,未知,公开招标
9,横琴粤澳深度合作区经济发展局2026年横琴口岸安检服务项目,横琴粤澳深度合作区经济发展局2026年横琴口岸安检服务项目中标公告,915.6,横琴粤澳深度合作区经济发展局,未知,公开招标
10,吕梁市吕梁山西麓三北工程林草湿荒一体化保护修复项目方山县2025年中幼林抚育,吕梁市吕梁山西麓三北工程林草湿荒一体化保护修复项目方山县2025年中幼林抚育结果公告,79.96,方山县林业局,未知,公开招标
11,国家税务总局濮阳市税务局2026年物业管理服务项目,国家税务总局濮阳市税务局2026年物业管理服务项目中标结果公告,996000.0,国家税务总局濮阳市税务局,濮阳市恒基物业管理有限公司,公开招标
12,揭阳市惠来县惠城镇墩高片区人居环境综合整治项目-机械式停车场、成品屋,揭阳市惠来县惠城镇墩高片区人居环境综合整治项目-机械式停车场、成品屋结果公告,227.2,惠来县惠城镇人民政府,未知,公开招标
13,兴宾区2025年耕地保护暨国土日常变更调查服务工作项目,广西科宏建设项目管理有限公司关于兴宾区2025年耕地保护暨国土日常变更调查服务工作项目中标公告,471.38,来宾市兴宾区自然资源局,未知,公开招标
14,行政辅助事项,行政辅助事项的中标（成交）结果公告,0.0,上海市浦东新区城市管理综合行政执法局,未知,公开招标
15,吕梁市吕梁山西麓三北工程林草湿荒一体化保护修复项目方山县2025年退化林修复,吕梁市吕梁山西麓三北工程林草湿荒一体化保护修复项目方山县2025年退化林修复结果公告,973.16,方山县林业局,未知,公开招标
16,抚松县2025年农村供水保障巩固提升工程,吉林省鹏诚项目管理咨询有限公司关于抚松县2025年农村供水保障巩固提升工程中标(成交)结果公告,254.26,抚松县农村饮水工程建设和科技服务中心,未知,公开招标
17,巫溪县数智健康中心信息化建设项目,巫溪县数智健康中心信息化建设项目(WXX25C00057)中标（成交）结果公告,2356000.0,巫溪县人民医院,中国电信股份有限公司巫溪分公司,公开招标
