company_name,credit_code,registration_date,company_type,legal_representative,registered_capital,registered_capital_value,registered_capital_unit,province,city,registration_address,business_scope,is_agriculture,is_manufacturing,company_scale,business_keyword_count,data_quality_score
广州 彬立 服装 有限公司,91440101MA5CKXBL84,2019-01-01,未知类型,谭彬礼,100(万人民币元),0.0,万元,广东,广州,广州市 番禺区 南珠路 178 号 自主 申报,鞋 批发 ; 服装辅料 批发 ; 服装 批发 ; 商品 批发 贸易 许可 审批 类 商品 除外 ; 商品 零售 贸易 许可 审批 类 商品 除外 ; 帽 批发 ; 服装 零售 ; 服装辅料 零售 ( 依法 须 经 批准 的 项目 ， 经 相关 部门 批准 后方 可 开展 经营 活动 ),否,否,微型,53,6
广州 洪飞 贸易 有限公司,91440101MA5CKXBKX4,2019-01-01,未知类型,成洪飞,"3,000(万人民币元)",0.0,万元,广东,广州,广州市 天河区 石牌西 路 111 号 20006 房 自主 申报,商品 批发 贸易 许可 审批 类 商品 除外 ; 技术 进出口 ; 货物 进出口 专营 专控 商品 除外 ; 贸易 代理 ; 电工 金具 的 销售 ; 电工器材 的 批发 ; 电线电缆 批发 ; 电子产品 批发 ; 电子 元器件 批发 ; 办公设备 批发 ; 仪器仪表 批发 ; 办公设备 耗材 批发 ; 软件 批发 ; 计算机 零配件 批发 ; 计算机 批发 ; 电气设备 批发 ; 五金产品 批发 ; 汽车 零配件 批发 ; 农业机械 批发 ; 建材装饰 材料 批发 ; 照相 器材 批发 ; 乐器 批发 ; 游艺 及 娱乐 用品 批发 ; 玩具 批发 ; 体育用品 及 器材 批发 ; 文具用品 批发 ; 编制 缝纫 日用品 批发 ; 家居饰品 批发 ; 婴儿用品 批发 ; 家具 批发 ; 箱包 批发 ; 眼镜 批发 ; 钟表 批发 ; 家用电器 批发 ; 灯具 装饰 物品 批发 ; 消毒 用品 销售 涉及 许可 经营 的 项目 除外 ; 陶瓷 玻璃器皿 批发 ; 日用 器皿 及 日用 杂货 批发 ; 清洁用品 批发 ; 卫生 盥洗 设备 及 用具 批发 ; 化妆品 及 卫生用品 批发 ; 帽 批发 ; 鞋 批发 ; 服装 批发 ; 纺织品 针织品 及 原料 批发 ; 软件开发 ; 信息系统 集成 服务 ; 计算机房 维护 服务 ; 信息技术 咨询服务 ; 数据处理 和 存储 服务 ; 集成电路 设计 ( 依法 须 经 批准 的 项目 ， 经 相关 部门 批准 后方 可 开展 经营 活动 ),否,否,微型,222,6
广州 祺 鑫 商业 管理 有限公司,91440101MA5CKXAY8Q,2019-01-01,未知类型,徐维成,800(万人民币元),0.0,万元,广东,广州,广州市 白云区 江夏 北二路 四巷 5 号 自主 申报,企业 管理 服务 涉及 许可 经营项目 的 除外 ; 单位 后勤 管理 服务 涉及 许可 经营 的 项目 除外 ; 房屋 租赁 ; 场地 租赁 不 含 仓储 ; 仓储 咨询服务 ( 依法 须 经 批准 的 项目 ， 经 相关 部门 批准 后方 可 开展 经营 活动 ),否,否,微型,49,6
广州 桉桐 服装贸易 有限公司,91440101MA5CKXC02J,2019-01-01,未知类型,林泽钦,200(万人民币元),0.0,万元,广东,广州,广州市 天河区 林和街 广州 大道 中 1428 号 2079 铺 自主 申报,互联网 商品销售 许可 审批 类 商品 除外 ; 商品 零售 贸易 许可 审批 类 商品 除外 ; 商品 批发 贸易 许可 审批 类 商品 除外 ; 互联网 商品 零售 许可 审批 类 商品 除外 ; 帽 零售 ; 鞋 零售 ; 服装 零售 ; 服装 批发 ; 鞋 批发 ; 帽 批发 ( 依法 须 经 批准 的 项目 ， 经 相关 部门 批准 后方 可 开展 经营 活动 ),否,否,微型,70,6
广州 煜 培 广告 有限公司,91440101MA5CKXCA43,2019-01-01,未知类型,刘煜培,1000万元人民币,0.0,万元,广东,广州,广州市 海珠区 艺洲路 604 号 1201 房 ( 自主 申报 ),公司 礼仪 服务 ; 会议 及 展览 服务 ; 软件 服务 ; 体育运动 咨询服务 ; 文化 艺术 咨询服务 ; 教育 咨询服务 ; 企业形象 策划 服务 ; 企业 管理 咨询服务 ; 办公 服务 ; 包装 服务 ; 广告业 ; 餐饮 管理 ; 酒店 管理 ; 计算机网络 系统工程 服务 ; 信息系统 集成 服务 ; 计算机房 维护 服务 ; 信息技术 咨询服务 ; 科技 信息 咨询服务 ; 科技 项目 代理服务 ; 科技 项目 招标 服务 ; 科技 项目 评估 ...,否,否,微型,76,6
广州 久香 贸易 有限公司,91440101MA5CKXBH5P,2019-01-01,未知类型,邓纯辉,500(万人民币元),0.0,万元,广东,广州,广州市 天河区 冼村 街 黄埔 大道 西 100 号 之二 自主 申报,互联网 商品销售 许可 审批 类 商品 除外 ; 商品 批发 贸易 许可 审批 类 商品 除外 ; 贸易 代理 ; 商品 零售 贸易 许可 审批 类 商品 除外 ; 贸易 咨询服务 ; 互联网 商品 零售 许可 审批 类 商品 除外 ( 依法 须 经 批准 的 项目 ， 经 相关 部门 批准 后方 可 开展 经营 活动 ),否,否,微型,58,6
广州 华山 科技 有限公司,91440101MA5CKXBY42,2019-01-01,未知类型,邓勇华,"1,000(万人民币元)",0.0,万元,广东,广州,广州市 天河区 广棠 西横路 7 号 自主 申报,集成电路 设计 ; 信息技术 咨询服务 ; 计算机房 维护 服务 ; 信息系统 集成 服务 ; 软件开发 ; 网络 技术 的 研究 开发 ; 网络 信息技术 推广 服务 ; 网络安全 信息 咨询 ; 互联网 商品销售 许可 审批 类 商品 除外 ; 互联网 商品 零售 许可 审批 类 商品 除外 ( 依法 须 经 批准 的 项目 ， 经 相关 部门 批准 后方 可 开展 经营 活动 ),否,否,微型,65,6
广州 华来 科技 有限公司,91440101MA5CKXBX67,2019-01-01,未知类型,邓勇华,"1,000(万人民币元)",0.0,万元,广东,广州,广州市 天河区 黄村 西华 里 12 号 自主 申报,集成电路 设计 ; 数据处理 和 存储 服务 ; 信息技术 咨询服务 ; 计算机房 维护 服务 ; 信息系统 集成 服务 ; 软件开发 ; 网络 技术 的 研究 开发 ; 网络 信息技术 推广 服务 ; 网络安全 信息 咨询 ; 互联网 商品销售 许可 审批 类 商品 除外 ; 互联网 商品 零售 许可 审批 类 商品 除外 ( 依法 须 经 批准 的 项目 ， 经 相关 部门 批准 后方 可 开展 经营 活动 ),否,否,微型,70,6
广州 梵熙 美容 咨询 有限公司,91440101MA5CKXC968,2019-01-01,未知类型,宁土荣,100(万人民币元),0.0,万元,广东,广州,广州市 天河区 汇景 北路 110 号 自主 申报,美容 健身 咨询服务 ; 化妆品 及 卫生用品 批发 ; 化妆品 及 卫生用品 零售 ; 化妆品 零售 ; 销售 本 公司 生产 的 产品 国家 法律法规 禁止 经营 的 项目 除外 ； 涉及 许可 经营 的 产品 需 取得 许可证 后方 可 经营 ( 依法 须 经 批准 的 项目 ， 经 相关 部门 批准 后方 可 开展 经营 活动 ),否,是,微型,60,6
广州 爵铭 贸易 有限公司,91440101MA5CKXBG7W,2019-01-01,未知类型,高力,"3,000(万人民币元)",0.0,万元,广东,广州,广州市 天河区 石牌西 路 111 号 20003 房 ( 自主 申报 ),商品 批发 贸易 许可 审批 类 商品 除外 ; 技术 进出口 ; 货物 进出口 专营 专控 商品 除外 ; 贸易 代理 ; 电工 金具 的 销售 ; 防雷 设备 的 销售 ; 电工器材 的 批发 ; 电线电缆 批发 ; 安全 技术 防范 产品 批发 ; 环保 设备 批发 ; 电子产品 批发 ; 电子 元器件 批发 ; 办公设备 批发 ; 仪器仪表 批发 ; 软件 批发 ; 计算机 零配件 批发 ; 计算机 批发 ; 电气设备 批发 ; 五金产品 批发 ; 摩托车 批发 ; 汽车 零配件 批发 ; 农业机械 批发 ; 建材装饰 材料 批发 ; 其他 文化娱乐 用品 批发 ; 乐器 批发 ; 游艺 及 娱乐 用品 批发 ; 玩具 批发 ; 体育用品 及 器材 批发 ; 文具用品 批发 ; 家居饰品 批发 ; 婴儿用品 批发 ; 家具 批发 ; 箱包 批发 ; 眼镜 批发 ; 钟表 批发 ; 家用电器 批发 ; 灯具 装饰 物品 批发 ; 日用 器皿 及 日用 杂货 批发 ; 清洁用品 批发 ; 卫生 盥洗 设备 及 用具 批发 ; 厨房设备 及 厨房用品 批发 ; 化妆品 及 卫生用品 批发 ; 帽 批发 ; 鞋 批发 ; 服装 批发 ; 纺织品 针织品 及 原料 批发 ; 软件开发 ; 信息系统 集成 服务 ; 计算机房 维护 服务 ; 信息技术 咨询服务 ; 数据处理 和 存储 服务 ; 集成电路 设计 ( 依法 须 经 批准 的 项目 ， 经 相关 部门 批准 后方 可 开展 经营 活动 ),否,否,微型,223,6
