company_name,credit_code,registration_date,company_type,legal_representative,registered_capital,registered_capital_value,registered_capital_unit,province,city,registration_address,business_scope,is_agriculture,is_manufacturing,company_scale,business_keyword_count,data_quality_score
苏州 文化 国际 旅行社 有限公司 逍遥游 营业部,91320508MA1XPQPH4H,2019-01-01,未知类型,杜宏业,0(万元),0.0,万元,江苏,苏州,苏州市 姑苏 区,"从事 入境 旅游 业务 国内 旅游 业务 出境 旅游 业务 ; 代购 车船 飞机票 业务 ; 网络 营销策划 ; 提供 翻译 会展 会务 服务 ; 批发 零售 : 旅游 纪念品 。 ( 依法 须 经 批准 的 项目 , 经 相关 部门 批准 后方 可 开展 经营 活动 )",否,否,微型,49,6
丹阳市 丹 北镇 盛翔 机械 配件厂,92321181MA1XPR4M4C,2019-01-02,未知类型,何翔,20(万元人民币),0.0,万元,江苏,镇江,丹阳市 新桥镇 姚家 弄村 二 圩 埭 35 号,机械配件 五金件 汽车配件 包装 制品 模具 研发 设计 加工 生产 维修 。,否,是,微型,12,6
东海县 双店 镇君佑 秸秆 加工厂,92320722MA1XPRHQXT,2019-01-02,个体工商户,张双超,20万人民币,0.0,万元,江苏,连云港,东海县 双店 镇 季岭 村,秸秆 回收 加工 。,否,是,微型,4,8
丰县 贵军 电动车 配件 加工厂,92320321MA1XPUC03G,2019-01-02,个体工商户,赵玉侠,50万人民币,0.0,万元,江苏,徐州,丰县 孙楼 街道 办事处 张 新庄 村,电动车 及 配件 加工 销售 。,否,是,微型,6,8
丰源 环保 科技 ( 泰州 ) 有限公司,91321281MA1XPUH135,2019-01-02,未知类型,景平旺,200万元人民币,0.0,万元,江苏,泰州,兴化市 合 陈镇昌合路 南侧,环保 科技领域 的 技术开发 技术咨询 技术 服务 技术转让 ; 饲料原料 饲料 添加剂 添加剂 预 混合 饲料 加工 销售 ; 食品 废料 回收 下架 食品 不 合格 食品 及 过期 食品 回收 粉碎 加工 销毁 ; 黑水 虻 养殖 技术 研发 销售 ; 花卉苗木 蔬菜水果 种植 销售 ; 工业 垃圾 ( 不 含 危险 废弃物 ) 清运 服务 ; 道路 普通 货物运输 ; 废旧物资 回收 销售 ( 不含 ...,否,是,微型,68,6
中国 人民 财产保险 股份 有限公司 常州市 武进 支公司 经发区 营销 服务部,91320412MA1XPQUK0H,2019-01-02,未知类型,王斌,0(万元人民币),0.0,万元,江苏,常州,常州市 武进区 延政中 大道 22 号 216 室,对 营销员 开展 培训 及 日常 管理 ； 收取 营销员 代收 的 保险费 投保单 等 单证 ； 分发 保险公司 签发 的 保险单 保险 收据 等 相关 单证 ； 接受 客户 的 咨询 投诉 ； 经 公司 核保 ， 营销 服务部 可以 打印 保单 ； 经 公司 授权 ， 营销 服务部 从事 机动车辆 险 家财险 的 查勘 理赔 。,否,否,微型,58,6
中盛 认证 有限公司,91320300MA1XPUNC15,2019-01-02,未知类型,焦文,"7,000(万元人民币)",0.0,万元,江苏,徐州,徐州市 鼓楼区 沈场 淮海 文化 科技 产业园 A2 座 306,认证 服务 。,否,否,微型,3,6
上海 畅洁 环境工程 有限公司 连云港 分公司,91320706MA1XQ0DM3H,2019-01-02,未知类型,张先贵,0(万元),0.0,万元,江苏,连云港,连云港市 海州区 解放 东路 282 号 新世纪 商贸城 16 号楼 1 - 15 号 商铺,"环保 科技领域 内 的 技术开发 技术转让 技术咨询 技术 服务 ; 环保 建设工程 建筑装修 装饰 工程施工 ; 清洁 服务 ; 物业管理 ; 办公设备 维修 ; 绿化 养护 ; 环保 设备 消防设备 办公设备 建筑材料 装饰 装修 材料 工艺品 日用品 销售 。 ( 依法 须 经 批准 的 项目 , 经 相关 部门 批准 后方 可 开展 经营 活动 )",否,否,微型,57,6
丰县 恒畅 通讯器材 有限公司,91320321MA1XPY2194,2019-01-02,未知类型,王卫华,81(万元人民币),0.0,万元,江苏,徐州,徐州市 丰县 首羡镇 步行街 商铺,手机 及 配件 电子产品 家用电器 批发 零售 ； 手机 及 配件 电子产品 维修服务 ； 依 协议 办理 电信 增值 业务 。,否,否,微型,21,6
东海县 迷奢 珠宝 有限公司,91320722MA1XPT0T10,2019-01-02,未知类型,刘涛,500万元人民币,0.0,万元,江苏,连云港,连云港市 东海县 牛山 街道 中华 北路 1 号 中国 东海水晶 城 2 号馆 3 层 B 区 050 号 商铺,"红纹石 碧玺 玉石 翡翠 珍珠 水晶 玛瑙 水晶 工艺品 及其 它 珠宝首饰 批发 零售 ; 网络 技术开发 与 技术 服务 推广 ; 企业形象 策划 ; 服装鞋帽 销售 。 ( 依法 须 经 批准 的 项目 , 经 相关 部门 批准 后方 可 开展 经营 活动 ) * * *",否,否,微型,49,6
丰县 翠芹 服装 加工厂,92320321MA1XPY7454,2019-01-02,个体工商户,刘翠芹,10万人民币,0.0,万元,江苏,徐州,丰县 孙楼 镇 街道 办事处 三 教堂 5 组 163 号,服装 加工 销售 。,否,是,微型,4,8
丰县 腾智 传媒 广告 有限公司,91320321MA1XPX2P2X,2019-01-02,未知类型,温理想,50(万元人民币),0.0,万元,江苏,徐州,徐州市 丰县 万丰 E通 数码 港商 1 幢 1 单元 167 #,文化 艺术交流 策划 ； 广告设计 制作 代理 及 发布 ； 展览 展示 服务 ； 会务 服务 ； 礼仪 服务 ； 图文 设计 制作 ； LED 显示屏 设计 制作 ； 企业形象 策划 ； 装饰 工程设计 施工 ； 塑料制品 包装材料 纸制品 金属制品 日用百货 销售 。,否,否,微型,43,6
上海 智杰 保洁 服务 有限公司 苏州 分公司,91320509MA1XPWF165,2019-01-02,未知类型,范同刚,0(万元人民币),0.0,万元,江苏,苏州,吴江 经济 技术开发区 同里镇 三元 街迎燕 东路 158 号 1 幢 103 室,保洁 服务 除 家政 服务 除 中介 ； 物业管理 ； 商务信息 咨询 ； 园林绿化 工程 管道 建设工程 专业 施工 工程 类 项目 凭 许可 资质 经营 ； 办公用品 环保 设备 清洁用品 的 销售 。,否,否,微型,34,6
