商品名称,关键词,链接,价格,供应商,地址,图片链接,描述,来源,采集时间,collection_time,product_category,supplier
鱼塘养殖水质监测仪 COD氨氮亚硝酸盐溶解氧PH在线分析仪 鸿光厂家,PH仪,https://b2b.baidu.com/b2bsearch/jump?url=https%3A%2F%2Fb2bwork.baidu.com%2Fland%3Flid%3D1775081387320686100&lattr=ot&query=PH%E4%BB%AA&logid=1300387538087159863&srcId=27729&brand=%E9%B8%BF%E5%85%89&category=%E4%BB%AA%E5%99%A8%E4%BB%AA%E8%A1%A8%3B%E7%8E%AF%E5%A2%83%E6%A3%80%E6%B5%8B%E4%BB%AA%E5%99%A8%3B%E6%B0%B4%E8%B4%A8%E5%88%86%E6%9E%90%E4%BB%AA%E5%99%A8&uign=e21bba9fb9842b16c37b9256dcae6e9&iid=ac7beddb0b63945508584d6b9a2c1f32&timeSignOri=1768639844&xzhid=48953126&miniId=8469&qid=2135122692&sv_cr=11&jyb_contract_id=12179300002&jybtf=14&ii_pos=0&nquery=PH%E4%BB%AA&jid=1845995575,2.50万/台,南京鸿光环保科技有限公司,南京市江宁区禄口街道神舟路37号创智产业园A栋A1-006,"https://ss2.baidu.com/6ONYsjip0QIZ8tyhnq/it/u=1817722302,55334395&fm=199&app=68&f=JPEG?w=375&h=375&s=ADA2DF14562656AC947474DE0300D0F2",类别：仪器仪表;环境检测仪器;水质分析仪器,百度爱采购,2026-01-17 16:50:46,2026-01-17 16:50:46,其他,南京鸿光环保科技有限公司
虹润 pH计在线监测仪水库河道工业电极污水ORP酸碱度水质分析检测,PH仪,https://b2b.baidu.com/b2bsearch/jump?url=https%3A%2F%2Fwww.baidu.com%2Fbaidu.php%3Furl%3DK60000aOyXBElcxbQoH1Px7x4RmOT9goPpFH4qCyf9Gu4zd1uPV7Y7GuHi9TRRMpi7eBLJsyMOibgVQU61YGyJxPtUWA0uxCDAh77jxTHMfr7Xcm2w0lr8te3jlS6qOkb6VDcEIUsJ0nTjnCA6SnY0kWc5cpXV9oxJCJr7h-KgazHDkH1pLjrw0pxWq3LiT52PRDWedYN-OqiTgJPnpDLh3juN_2.Db_NR2Ar5Od66EzgSNerQ0BaB17ILknIMHgYqMZgYe_Muxo3S5WvXPbrHIgT1y1vu5AZugudqPLQfYmY_NvIT8FBEuvUVSOI8tXMoYTPyFWk_LurMugYqIHMgwOX4BEukLd4nh1GoeQPvSEx_tX1oal29n1jfSq17IMW_zNvyyyyImph5ZIdE84xCknwxEkwkum854JOqITvy1WSpE4gHxEq5YwgRrAQqS1qXJElqDgeqbXJEqaeNgudlcljZlZeqvVO4E1OzQPRg_BOxBWBzkTx1NOll4_VMZtdxz8hOxlxCB8CTngeqMlqNxzOtZLOxOeZl3_ESE9OPSLYqE48MkOUk4UVSMl5EYmO3hxO_ypcEuuC9q-hWtv1ICS8OZC3Qo5LeOdkuIxj7SL7sJN9h9mtXrikf0.uMfqnfK8IjYs0AFL5H00THdfiPQZ0A-1gLIGThN_ugP15H00uANv5HD0mgKspyfqrjD0uynqn1DkPfKWUy7Ymv6qnWDsPsKGUHYznH0L0A71TWYd0Zwd5HD3PjR4rHRdP1m0IgF_5y9YIZK1rBtEmWFBQhF9pywdQhPEUiq_my4b5v-b5HfvnHmYnvmvPHcYmhm1P1TYP1KWnWRkuADkmHfzPvn3nH0hTZFEu7qYXgK-5HDsFhGGujYkrjfdrHbdPHTvFM9lpA-b5HTsPHcvrjDvFhIEUvw1iyfqnH61rHDznW6vnHfsPHbkrH6LPauWUv4YTh7WID-b5HDsP16znH0snj0sFhPC5HTdFhFbgLuGujd8iA41UhG8nd0kRW7zpW01Rj7DuZFcPMu8uZwlUb6sHATkwM98ijK1u17RuATknau3TLfqND9buh-fRNCsuv4kUb98Tv4JUWPfnNckThCsnd0kwAwzijuvUhwYXh4cnDkMnRwQiR9uHA4JRMGfN1uoRjmLNLKJuj-VIb-3TDYVyHK4UMDsXyPknZ-frjN4wW-sXgIbnD9BHA4JuMG8Nv4l0ZKzUvfqPjmkPWf1uWmdnWwBuWnLP1fLnAnzPH7bmH79PjcLm160XZPYIHYLnjRzPW6kP6KYUHYs0ZKGujYY0APzm1YknHDdn0&query=PH%E4%BB%AA&logid=1300387538087159863&srcId=27729&brand=%E8%99%B9%E6%B6%A6&category=%E4%BB%AA%E5%99%A8%E4%BB%AA%E8%A1%A8%3B%E8%A1%8C%E4%B8%9A%E4%B8%93%E7%94%A8%E4%BB%AA%E5%99%A8%E4%BB%AA%E8%A1%A8%3B%E5%85%B6%E5%AE%83%E8%A1%8C%E4%B8%9A%E4%B8%93%E7%94%A8%E4%BB%AA%E5%99%A8%E4%BB%AA%E8%A1%A8&uign=76c111f203c84de73d80d66b8148d6f3&iid=461643f6524bf377470c251da1a427c8&timeSignOri=1768639844&xzhid=70526816&miniId=8469&qid=2135122692&sv_cr=10&jyb_contract_id=10782100000&jybtf=14&ii_pos=1&nquery=PH%E4%BB%AA&jid=1845995576&aid=10837137529246658710,1020.00元/台,福建顺昌虹润精密仪器有限公司,福建省顺昌县城南东路45号,"https://ss2.baidu.com/6ONYsjip0QIZ8tyhnq/it/u=1370452972,302658479&fm=199&app=68&f=JPEG?w=375&h=375&s=7196E83B4AD67BE960ADCCC40300A027",类别：仪器仪表;行业专用仪器仪表;其它行业专用仪器仪表,百度爱采购,2026-01-17 16:50:47,2026-01-17 16:50:47,其他,福建顺昌虹润精密仪器有限公司
PH-3515F 172系列 - 投影仪 用于刀具行业的标准型,PH仪,https://b2b.baidu.com/b2bsearch/jump?url=https%3A%2F%2Fb2bwork.baidu.com%2Fland%3Flid%3D1852097044202517321&query=PH%E4%BB%AA&logid=1300387538087159863&srcId=27729&brand=%E4%B8%89%E4%B8%B0&category=%E4%BB%AA%E5%99%A8%E4%BB%AA%E8%A1%A8%3B%E5%85%89%E5%AD%A6%E4%BB%AA%E5%99%A8%3B%E5%85%89%E5%AD%A6%E6%B5%8B%E9%87%8F%E4%BB%AA&uign=1d78729cdd8865b85552edc11dcb72dd&iid=bcbd618bc2939f8afbf013de0ed9fabc&timeSignOri=1768639844&xzhid=75912134&miniId=8469&qid=2135122692&sv_cr=7&jybHlth=0&jyb_contract_id=12371000003&jybtf=14&ii_pos=2&nquery=PH%E4%BB%AA&jid=1845995577,面议/台,蚌埠羽丰仪器设备有限公司,广东东莞,"https://ss1.baidu.com/6ONXsjip0QIZ8tyhnq/it/u=1760399673,1283048859&fm=199&app=68&f=JPEG?w=375&h=375&s=19803C7A41F0E39A61F560D7020080A2",类别：仪器仪表;光学仪器;光学测量仪,百度爱采购,2026-01-17 16:50:47,2026-01-17 16:50:47,其他,蚌埠羽丰仪器设备有限公司
镐浓度/pH/游离氟在线分析仪 实时数据监测 智能加药系统,PH仪,https://b2b.baidu.com/b2bsearch/jump?url=https%3A%2F%2Fb2bwork.baidu.com%2Fland%3Flid%3D1829699952550178787&lattr=ot&query=PH%E4%BB%AA&logid=1300387538087159863&srcId=27729&brand=%E7%A6%BE%E5%B7%A5%E4%BB%AA%E5%99%A8&category=%E4%BB%AA%E5%99%A8%E4%BB%AA%E8%A1%A8%3B%E8%A1%8C%E4%B8%9A%E4%B8%93%E7%94%A8%E4%BB%AA%E5%99%A8%E4%BB%AA%E8%A1%A8%3B%E5%85%B6%E5%AE%83%E8%A1%8C%E4%B8%9A%E4%B8%93%E7%94%A8%E4%BB%AA%E5%99%A8%E4%BB%AA%E8%A1%A8&uign=7b95ca4e6b6c57631977498ad67413b1&iid=2e3a361066f2b83c563de0a76696f30c&timeSignOri=1768639844&xzhid=354064&miniId=8469&qid=2135122692&sv_cr=11&jyb_contract_id=11202900002&jybtf=14&ii_pos=3&nquery=PH%E4%BB%AA&jid=1845995578,9.80万/台,上海禾工科学仪器有限公司,闵行区立跃路778号216-H座,"https://ss0.baidu.com/6ONWsjip0QIZ8tyhnq/it/u=92806317,1170706002&fm=199&app=68&f=JPEG?w=375&h=375&s=59203C724322770959DD4CD5000010A2",类别：仪器仪表;行业专用仪器仪表;其它行业专用仪器仪表,百度爱采购,2026-01-17 16:50:48,2026-01-17 16:50:48,其他,上海禾工科学仪器有限公司
水质PH值传感器 变送器工业级 余氯监测复合电极酸碱度 ORP检测仪,PH仪,https://b2b.baidu.com/b2bsearch/jump?url=https%3A%2F%2Fwww.baidu.com%2Fbaidu.php%3Furl%3DK60000aOyXBElcxbQoXMfOm_nEPc_IqYMN3SsXzJaH4KW9VQ9CzFRbMcybFVWbAAsZY5_vOnx0YPIZy09EOvy0TClA1kRaralJFWrkjsk84K-oymXv5WpWR9vgeiE_KXboXSTF8VcpzF4urJ-wTAD8uwZfMg-VzY1QzNBl7NtudAl76_uz4J7unqDypFFo8r2_XoOjc-GAFNN-8-qhLO9xz634nB.7R_NR2Ar5Od66EzgSNerQ0BaB17ILknXriekvI-Tre_3LlYeenMB1vFzIM7--2IXOy1gudqPLQfYmY_NvIT8FBEuvUVSOI8tIOgC3p_HZZxkLUrz1WddrIIZqeh2OZxke5A1_3S5HEL4PMW_zUr_QCJD1nPjeLnNdq-heWuuuuud9JmtILySe-SWDk7SO7Z7-B3OhoOdd1uUr54JO-IPSOYOw7If3mELe5dlJOzqDgeqbXJEqaeNgudlcljZlZeqvVO4E1OzQPRg_BOxBWBzkTx1NOll4_VMZtdxz8hOxlxCB8CTngeqMlqNXEOsxxqOO_N1xEkgHuITTRxWSLWzLUq5YxxCkOknOOm_YwXz1wjeQPZ4VhewqIS5wsgyxEOQWSp825tdIOOmh_RojPakkLU2ql6.uMfqnfK8IjYs0AFL5H00THdfiPQZ0A-1gLIGThN_ugP15H00uANv5HD0mgKspyfqrjD0uynqn1DkPfKWUy7Ymv6qnWDsPsKGUHYznH0L0A71TWYd0Zwd5HD3PjR4rHRdP1b0IgF_5y9YIZK1rBtEmWFBQhF9pywdQhPEUiq_my4b5v-b5HTzujT3Pj7WPHf1mhu-rH0zPvDYuHcYnv79uyNhryu9nH0hTZFEu7qYXgK-5HDsFhGGujYkrjfdrHbdPHT4FM9lpA-b5Hn4n1R3Pj01FhIEUvw1iyfqnHT4n1fLnjf1P1m4rHc3P16zrauWUv4YTh7WID-b5HDkPj0dn10snj0sFhPC5HTdFhFbgLuGujd8iA41UhG8nd0kRW7zpW01Rj7DuZFcPMu8uZwlUb6sHATkHM98ijK1u17RuATknau3TLfqND9buh-fRNCsuv4kUb98Tv4JUWPfnNckThCsnd0kwAwzijuvUhwYXh4cnDkMnyuQiR9ungFcUhwzphu1UMnLNLKJuj-VIb-3TDYVyHK4UMDsXyPknZ-frjN4wW-sXgIbnD9Dnd0kUMPfnyFuTW00TZFEujYLnhfLrjfkm1RYnvFhuHbsnWI9PARzPjP9myN-uW-hmfK3TLwd5Hn4n1R3Pj010ZwV5H00TA-b5Hf0mLFW5HfzPj0s&query=PH%E4%BB%AA&logid=1300387538087159863&srcId=27729&brand=%E4%B8%AD%E5%A4%A9%E5%AE%87%E4%BF%A1&category=%E4%BB%AA%E5%99%A8%E4%BB%AA%E8%A1%A8%3B%E7%8E%AF%E5%A2%83%E6%A3%80%E6%B5%8B%E4%BB%AA%E5%99%A8%3B%E6%B0%B4%E8%B4%A8%E5%88%86%E6%9E%90%E4%BB%AA%E5%99%A8&uign=42c47b3ab380244b7d9060b61d245e8e&iid=72d7841c543bfe9027a4e243aaeef9fa&timeSignOri=1768639844&xzhid=39358403&miniId=8469&qid=2135122692&sv_cr=10&jyb_contract_id=11405300000&jybtf=14&ii_pos=4&nquery=PH%E4%BB%AA&jid=1845995579&aid=5460553816489324810,623.00元/件,山东中天宇信信息技术有限公司,山东省威海市火炬高技术产业开发区恒泰街-97-2号广源家具五楼东,"https://ss0.baidu.com/6ONWsjip0QIZ8tyhnq/it/u=3929668261,2202125316&fm=199&app=68&f=JPEG?w=375&h=375&s=F9134A9C3C5777ED4936D9CA030010BD",类别：仪器仪表;环境检测仪器;水质分析仪器,百度爱采购,2026-01-17 16:50:49,2026-01-17 16:50:49,其他,山东中天宇信信息技术有限公司
PHSJ-4F型PH计 PH检测套装 台式PH仪 实验室酸度计,PH仪,https://b2b.baidu.com/b2bsearch/jump?url=http%3A%2F%2Fwww.51sole.com%2Ftp%2F201075707.htm&query=PH%E4%BB%AA&logid=1300387538087159863&brand=%E9%9B%B7%E7%A3%81&timeSignOri=1768639844&xzhid=28036793&iswapurl=0&category=%E4%BB%AA%E5%99%A8%E4%BB%AA%E8%A1%A8%3B%E7%8E%AF%E5%A2%83%E6%A3%80%E6%B5%8B%E4%BB%AA%E5%99%A8%3B%E6%B0%B4%E8%B4%A8%E5%88%86%E6%9E%90%E4%BB%AA%E5%99%A8&iid=27448ca7d864fdbf9b27e494af9a2ecb&qid=6391281797331251&sv_cr=0&jid=1093695795&uign=62fb0b279a4fd03e2944232648475f47&ii_pos=0&nquery=&lattr=ot,3553.00元/台,青岛明博环保科技有限公司,山东青岛,"https://ss1.baidu.com/6ONXsjip0QIZ8tyhnq/it/u=3823870544,3511146806&fm=199&app=68&f=JPEG?w=500&h=375&s=34304530573253841C5120C70100A0A2",类别：仪器仪表;环境检测仪器;水质分析仪器,百度爱采购,2026-01-17 16:50:49,2026-01-17 16:50:49,实验室,青岛明博环保科技有限公司
路博环保 工业在线PH仪 分辨率高 精度高 精准测量PH值,PH仪,https://b2b.baidu.com/b2bsearch/jump?url=https%3A%2F%2Fb2bwork.baidu.com%2Fland%3Flid%3D1851081912921925270&query=PH%E4%BB%AA&logid=1300387538087159863&brand=%E8%B7%AF%E5%8D%9A%E7%8E%AF%E4%BF%9D&timeSignOri=1768639844&xzhid=60525380&iswapurl=0&category=%E4%BB%AA%E5%99%A8%E4%BB%AA%E8%A1%A8%3B%E7%8E%AF%E5%A2%83%E6%A3%80%E6%B5%8B%E4%BB%AA%E5%99%A8%3B%E5%85%B6%E4%BB%96%E7%8E%AF%E5%A2%83%E6%A3%80%E6%B5%8B%E4%BB%AA%E5%99%A8&iid=ca8982a7cbb62c1bc54d68289e997a2b&qid=6391281797331251&sv_cr=0&jid=1093695796&uign=20b8c79f7de7bf862f2e4944e28cb8e6&ii_pos=1&nquery=&lattr=ot,6000.00元/台,青岛恒昌盛旭环保科技有限公司,山东省青岛市李沧区九水东路130-145号创新园3号楼1201-2室,"https://ss2.baidu.com/6ONYsjip0QIZ8tyhnq/it/u=3249741809,3184737944&fm=199&app=68&f=JPEG?w=750&h=750&s=4802CF1906C66FEDDC3014C60300E0B3",类别：仪器仪表;环境检测仪器;其他环境检测仪器,百度爱采购,2026-01-17 16:50:50,2026-01-17 16:50:50,其他,青岛恒昌盛旭环保科技有限公司
SX711 PH检测仪 酸度检测仪 便携式PH仪 水质分析仪,PH仪,https://b2b.baidu.com/b2bsearch/jump?url=http%3A%2F%2Fwww.51sole.com%2Ftp%2F239687136.htm&query=PH%E4%BB%AA&logid=1300387538087159863&brand=&timeSignOri=1768639844&xzhid=30395883&iswapurl=0&category=%E4%BB%AA%E5%99%A8%E4%BB%AA%E8%A1%A8%3B%E7%8E%AF%E5%A2%83%E6%A3%80%E6%B5%8B%E4%BB%AA%E5%99%A8%3B%E6%B0%B4%E8%B4%A8%E5%88%86%E6%9E%90%E4%BB%AA%E5%99%A8&iid=9a54503ce67ef502cca6ae939d6b072c&qid=6391281797331251&sv_cr=0&jid=1093695797&uign=6f4eedb3e39891ec6400eee191c74c0b&ii_pos=2&nquery=&lattr=ot,1200.00元/台,青岛明博环保科技有限公司,山东青岛,"https://ss1.baidu.com/6ONXsjip0QIZ8tyhnq/it/u=1365147165,1462235063&fm=199&app=68&f=JPEG?w=275&h=259&s=FD80C811471453C65440E4C80300E0B3",类别：仪器仪表;环境检测仪器;水质分析仪器,百度爱采购,2026-01-17 16:50:50,2026-01-17 16:50:50,其他,青岛明博环保科技有限公司
手持土壤检测仪器 鸣乔MQ-SCTR 便携式科研土壤检测仪 土壤PH检测仪,PH仪,https://b2b.baidu.com/b2bsearch/jump?url=https%3A%2F%2Fb2bwork.baidu.com%2Fland%3Flid%3D1845555208792328969&lattr=ot&query=PH%E4%BB%AA&logid=1300387538087159863&srcId=27729&brand=%E9%B8%A3%E4%B9%94&category=%E4%BB%AA%E5%99%A8%E4%BB%AA%E8%A1%A8%3B%E7%8E%AF%E5%A2%83%E6%A3%80%E6%B5%8B%E4%BB%AA%E5%99%A8%3B%E5%9C%9F%E5%A3%A4%E6%A3%80%E6%B5%8B%E4%BB%AA%E5%99%A8&uign=3c8b9a795353eb525d51b24a4143cce1&iid=bdafde41b02ec84e88f14d368360eae2&timeSignOri=1768639844&xzhid=52052258&miniId=8469&qid=2135122692&sv_cr=11&jyb_contract_id=12047900002&jybtf=14&ii_pos=8&jid=1845995583,1200.00元/台,山东鸣乔电子科技有限公司,山东省潍坊高新区清池街道商城社区健康街以北惠贤路以东现代家具商城普通家具市场楼1号楼7号，6号,"https://ss2.baidu.com/6ONYsjip0QIZ8tyhnq/it/u=1166586110,3509092487&fm=199&app=68&f=JPEG?w=375&h=375&s=A12340B6904703EFCC3E2855030010CA",类别：仪器仪表;环境检测仪器;土壤检测仪器,百度爱采购,2026-01-17 16:50:50,2026-01-17 16:50:50,其他,山东鸣乔电子科技有限公司
般特PHscan30高精度笔式pH计 便携式标准型式PH仪,PH仪,https://b2b.baidu.com/b2bsearch/jump?url=http%3A%2F%2Fwww.912688.com%2Fsupply%2F317714711.html&query=PH%E4%BB%AA&logid=1300387538087159863&brand=Grows%2F%E9%AB%98%E8%87%B4%E7%B2%BE%E5%AF%86&timeSignOri=1768639844&xzhid=27866779&iswapurl=0&category=%E4%BB%AA%E5%99%A8%E4%BB%AA%E8%A1%A8%3B%E5%88%86%E6%9E%90%E4%BB%AA%E5%99%A8%3BPH%E8%AE%A1&iid=4aa6ec379abc70c588a4c17af1ec5a04&qid=6391281797331251&sv_cr=0&jid=1093695798&uign=52e511547f253381485b45a1276942e3&ii_pos=3&nquery=,550.00元/台,上海高致精密仪器有限公司,上海,"https://ss0.baidu.com/6ONWsjip0QIZ8tyhnq/it/u=37399996,3922827350&fm=199&app=68&f=JPEG?w=750&h=750&s=07B6E922C8B053A79F1005170100D0E3",类别：仪器仪表;分析仪器;PH计,百度爱采购,2026-01-17 16:50:51,2026-01-17 16:50:51,其他,上海高致精密仪器有限公司
