company_name,credit_code,registration_date,company_type,legal_representative,registered_capital,registered_capital_value,registered_capital_unit,province,city,registration_address,business_scope,is_agriculture,is_manufacturing,company_scale,business_keyword_count,data_quality_score
博纳 电影院线 有限公司,91330783MA2E696E3C,2019-01-01,未知类型,刘钦辉,"5,000(万元人民币)",0.0,万元,浙江,金华,浙江省 金华市 东阳市 浙江 横店 影视 产业 实验区 商务楼 F1 - 666,全国 影片 发行 放映 ； 影院 投资 建设 影视 项目 投资 未经 金融 等 行业 监管部门 批准 不得 从事 吸收 存款 融资 担保 代客 理财 向 社会公众 集 融资 等 金融业务 ； 票务 代理 ； 技术咨询 技术转让 技术 服务 ； 影视 策划 ； 影视文化 信息 咨询 ； 设计 制作 代理 ， 发布 ； 户 内外 各类 广告 及 影视广告 ， 场地 租赁 ， 会展 会务 服务 ； 企业 管理 咨询 ； 电影 放映 设备 技术 服务 ； 眼镜 不 含 角膜 接触 镜 的 销售 ； 日用百货 玩具 工艺品 电子产品 的 销售 ； 电影 虚拟现实 体验 服务 ； 电子游戏 服务 。,否,否,微型,101,6
绍兴 易峰 装饰 工程 有限公司,91330621MA2BGL8H57,2019-01-01,未知类型,任永峰,518(万元人民币),0.0,万元,浙江,绍兴,浙江省 绍兴市 柯桥区 兰亭 街道 嘉盛 锦绣 兰庭 1 幢 0107 - 3 室,室内外 装饰 设计 施工 ； 广告设计 制作 ； 批发 零售 ： 五金 建筑材料 除 危险 化学品 及 易制毒 化学品 外 。,否,否,微型,21,6
绍兴 福盈 环保 科技 有限公司,91330621MA2BGL8G7C,2019-01-01,未知类型,丁淑芳,100(万元人民币),0.0,万元,浙江,绍兴,浙江省 绍兴市 柯桥区 兰亭 街道 联合 村,环保 技术开发 技术咨询 ； 环保 设备 的 销售 ； 环保 工程 的 设计 施工 ； 环境 评估 服务 ； 工矿企业 气体 监测 服务 。,否,否,微型,24,6
绍兴 振跃 通风设备 有限公司,91330621MA2BGL8F9H,2019-01-01,未知类型,王安国,500(万元人民币),0.0,万元,浙江,绍兴,浙江省 绍兴市 柯桥区 兰亭 街道 联合 村,批发 零售 ： 通风设备 机械设备 日用百货 ； 安装 ： 通风设备 ； 水暖 工程 ； 管道工程 。,否,否,微型,16,6
绍兴 律诺 信息技术 有限公司,91330621MA2BGL8E0L,2019-01-01,未知类型,唐佳宇,50(万元人民币),0.0,万元,浙江,绍兴,浙江省 绍兴市 柯桥区 兰亭 街道 山下 村 115 号 - 1,网络 信息技术 开发技术 转让技术 咨询 技术 服务 ； 知识产权 代理服务 ； 公关活动 策划 ； 企业 形象设计 ； 企业 营销策划 ； 广告设计 制作 代理 发布 。,否,否,微型,25,6
绍兴 越池 酒业 有限公司,91330621MA2BGL8KXK,2019-01-01,未知类型,余慧,100(万元人民币),0.0,万元,浙江,绍兴,浙江省 绍兴市 柯桥区 兰亭 街道 任家 畈 村前 泗汶 地段 2 幢,批发 零售 网上 销售 ： 酒类 预 包装 食品 兼 散装 食品 调料 ； 货物 进出口 法律 行政 法规 禁止 的 除外 。,否,否,微型,23,6
浙江 冠能 物流 有限公司,91330201MA2CLFK04T,2019-01-01,未知类型,张永兴,"1,000(万元人民币)",0.0,万元,浙江,宁波,浙江省 宁波市 大榭 开发区 永丰路 128 号 39 幢 108 - 69 室 住所 申报 承诺 试点区,国内 国际 海上 陆路 航空 货物运输 代理 ； 普通 货物 仓储 服务 ； 物流 信息 咨询服务 ； 汽车 租赁 ； 供应链 管理 服务 ； 计算机软件 开发技术 服务 ； 电子商务 信息 咨询服务 ； 石油制品 除 危险 化学品 燃料油 润滑油 汽车配件 的 批发 零售 。,否,否,微型,43,6
绍兴 隽通 物流 有限公司,91330621MA2BGL8J1U,2019-01-01,未知类型,邹秀梅,50(万元人民币),0.0,万元,浙江,绍兴,浙江省 绍兴市 柯桥区 兰亭 街道 任家 畈 村前 泗汶 地段 1 幢,道路 货物运输 ， 国内 货运 代理服务 ， 物流 信息 咨询服务 ， 装卸 服务 。,否,否,微型,14,6
义乌市 宝 和 日用百货 有限公司,91330782MA2E69DDX5,2019-01-02,未知类型,万生玲,100万元人民币,0.0,万元,浙江,金华,浙江省 义乌市 北苑 街道 春盛 小区 6 幢 403 室 ( 自主 申报 ),网上 销售 实物 现场 批发 : 帽子 纸制品 ( 不 含 出版物 ) 饰品 服装 鞋袜 针纺织品 围巾 家居 日用品 床上用品 工艺品 日用百货 玩具箱 包 腰带 家用电器 电子产品 数码产品 ( 以上 两项 经营范围 不 含 电子 出版物 ) 文体用品 ( 不 含 图书 报刊 音像制品 及 电子 出版物 ) 化妆品 ( 不 含 危险 化学品 ) 家具 塑料制品 小五金 ...,否,否,微型,60,6
义乌市 智来 贸易 有限公司,91330782MA2E69JNXT,2019-01-02,未知类型,蒋欣欣,20(万元人民币),0.0,万元,浙江,金华,浙江省 义乌市 北苑 街道 畈 东村 185 幢 1 单元 401 自主 申报,实物 现场 批发 网上 销售 ： 日用百货 箱包 户外 野营 用具 卫浴 洁具 饰品 家居 日用品 床上用品 文体用品 工艺品 玩具 汽车 日用品 服装 及 配件 手表 鞋帽 袜 围巾 太阳镜 宠物 日用品 母婴 日用品 ； 国际贸易 国内贸易 。,否,否,微型,38,6
中国 石化 国际 事业 有限公司 宁波 招标 中心,91330212MA2CLFX15M,2019-01-02,未知类型,李志斌,0(万元),0.0,万元,浙江,宁波,浙江省 宁波市 鄞州区 和济 街 181 号 1 幢 002 幢 ( 17 - 1 - 1 ),"利用 国外 贷款 和 国内 资金 采购 机电产品 的 国际 招标 业务 和 其他 国际 国内 招标 业务 ; 技术改造 项目 设备 招标 及 相关 服务 ; 承办 国际金融组织 贷款 项目 下 的 国际 招标 采购 业务 。 ( 依法 须 经 批准 的 项目 , 经 相关 部门 批准 后方 可 开展 经营 活动 )",否,否,微型,56,6
义乌市 梦塔 贸易 有限公司,91330782MA2E6AN26W,2019-01-02,未知类型,AL-SHARABI AKRAM MOHAMMED SAEED,10(万元人民币),0.0,万元,浙江,金华,浙江省 义乌市 江东 街道 宾王路 388 号 时代广场 三楼 325 室 自主 申报,日用百货 鞋 文具 五金工具 化妆品 不 含 危险 化学品 玩具 服装 家用电器 厨卫 用具 灯具 的 批发 及其 上述 商品 的 进出口 业务 。 涉及 国家 规定 实施 外商投资 准入 特别 管理 措施 的 除外,否,否,微型,35,6
义乌市 文宝 英语 培训部 有限公司,91330782MA2E69W392,2019-01-02,未知类型,唐修英,20(万元人民币),0.0,万元,浙江,金华,浙江省 义乌市 稠江 街道 童店 一区 51 幢 1 - 2 单元 ( 自主 申报 ),校外 语言 培训 。,否,否,微型,4,6
