id,contract_number,contract_name,project_number,project_name,buyer,buyer_address,buyer_contact,supplier,supplier_address,supplier_contact,main_target_name,specs,main_target_quantity,main_target_unit_price,contract_amount,performance_info,procurement_method,contract_sign_date,contract_announce_date,other_supplements,administrative_region,industry,agency,file_name,source,purchase_type,project_type
1,,信息公告,,信息公告,,,,,,,其他,详见招标文件,1,,,,公开招标,,,,陕西省,信息技术,,zhaobiao_1767005138_1.txt,zhaobiao,公开招标,其他
2,中大招（货）[2025]254号/1210-2541YDZB9383,中山大学航空航天学院空间装备精密基准校验平台单元采购项目,中大招（货）[2025]254号/1210-2541YDZB9383,中山大学航空航天学院空间装备精密基准校验平台单元采购项目,中山大学,广州市新港西路135号,李老师，020-84115089,,,,1、招标采购项目内容及数量：,1、招标采购项目内容及数量：,1,详见招标文件,2386.8,自合同签订之日起 270 日内完成交货。,公开招标,2025年12月29日 18:36,2025年12月29日 18:36,"1、招标文件获取方式：本项目采购以电子招投标形式进行，投标人可于中山大学智能电子采购系统（https://www.zhizhengyun.com）、中国政府采购网（http://www.ccgp.gov.cn）及代理机构网站（www.youde.net）浏览招标公告，确认参与本项目的潜在投标人应登录中山大学智能电子采购系统，在系统投标登记并在线获取招标文件及其它资料（未按上述方式获取招标文件的投标人，其投标资格将被视为无效）。
2、获取招标文件方式及时间：2025年12月30日 00:00:00至2026年01月06日 23:59:59；登录中山大学智能电子采购系统，在系统投标登记并正式获取招标文件及资料，否则不能参与本项目的投标。本项目不需要现场确认，若获取招标文件期限届满后，获取招标文件的潜在投标人不足三家，采购人将可能顺延获取招标文件期限并予公告。请各投标人留意网上公告，不再另行通知。
3、电子投标文件的提交：投标人须凭企业数字证书（GDCA）在提交投标文件截止时间前，在中山大学智能电子采购系统（https://www.zhizhengyun.com）完成电子投标文件的上传（注：无有效的GDCA数字证书或者有有效的GDCA数字证书但未绑定“中山大学智能电子采购系统”的供应商，均须按照平台电子认证的要求，提前办理企业数字证书（GDCA）并绑定“中山大学智能电子采购系统”。）。若投标文件于提交投标文件截止时间未能上传完毕，该投标文件将视为无效投标文件。在提交投标文件截止时间前，投标人可以替换已经上传完毕的投标文件。
4、投标文件解密时间：2026年01月20日 09:30:00 至 2026年01月20日 10:00:00（投标人登录中山大学智能电子采购系统在线解密，如因系统原因无法正常解密，采购人或采购代理机构可延长解密时间）。
5、解密完成后及时公布开标结果，投标人可登录中山大学智能电子采购系统（https://www.zhizhengyun.com）查看开标情况。
6、本项目的发布、修改、澄清和补充通知将在中山大学智能电子采购系统（https://www.zhizhengyun.com）、中国政府采购网（http://www.ccgp.gov.cn）及代理机构网站（www.youde.net）发布，敬请各投标人留意，不再另行通知。",广东省,软件开发,广东有德招标采购有限公司,zhaobiao_1767005140_2.txt,zhaobiao,公开招标,其他
3,N5105012025000574,2025年超长期特别国债医疗设备（双能X射线骨密度仪）,N5105012025000574,2025年超长期特别国债医疗设备（双能X射线骨密度仪）,泸州市中医医院,泸州市纳溪区杏林路80号（城南院区综合采购部）,0830-2962180,,,,详见采购需求附件,详见采购需求附件,1,详见招标文件,117.8,采购包1：合同签订之日起15日内完成安装交货,公开招标,2025年12月29日 18:30,2025年12月29日 18:30,"1
、计划号
:
51050025210200008196[2025]00594
2
、采购包
1
：预算金额（元）：详见采购需求
3
、监督管理部门：泸州市财政局政府采购监督管理科，联系电话：
0830-2282871
；
0830-3101562
；
4
、本项目需要落实的政府采购政策：促进中小企业发展，促进监狱企业发展，促进残疾人福利性单位发展，扶持不发达地区或少数民族地区。
5
、
为助力解决政府采购中标人资金不足、融资难、融资贵的困难，促进供应商依法诚信参加政府采购活动，根据《关于进一步提高政府采购透明度和采购效率相关事项的通知》（财办库〔
2023
〕
243
号）《四川省财政厅关于推进四川省政府采购供应商信用融资工作的通知》（川财采﹝
2018
﹞
123
号）规定，有融资需求的供应商可登录四川政府采购网—金融服务平台，选择符合自身情况的“政采贷”银行及其产品，凭项目中标结果、中标通知书等信息在线向银行提出贷款意向申请、查看贷款审批情况等
。
电子化采购相关事项：
本项目实行电子化采购，使用的电子化交易系统为：四川省政府采购一体化平台的项目电子化交易系统（以下简称
“交易系统”），登录地址：四川政府采购网（
www.ccgp-sichuan.gov.cn
）首页供应商用户登录入口。供应商应当按照以下要求，参与本次电子化采购活动。
一、供应商应当在四川政府采购网
-
办事指南查看四川省政府采购一体化平台（以下简称“采购平台”）操作规范，并严格按照操作规范要求进行系统操作。供应商参与本项目电子化采购活动的范围主要包括：获取招标文件，编制、签章、加密并提交投标文件，参加开标、解密投标文件和电子评标，签订采购合同等。
二、供应商应当使用纳入全国公共资源交易平台（四川省）数字证书互认范围的数字证书和电子印章，参加本项目电子化采购活动；已按规定办理数字证书和电子印章的供应商，按照采购平台操作规范进行身份信息绑定、权限设置和系统操作。未办理互认的数字证书和电子印章的供应商，可在四川省公共资源交易信息网
-
办事指南或者四川政府采购网
-
办事指南查询办理渠道。
供应商使用数字证书登录采购平台进行的一切系统操作和加盖电子印章确认的电子文书资料，均属于供应商真实意思表示，供应商对其系统操作行为和电子印章确认事项承担法律责任。
供应商应当加强数字证书和电子印章的日常校验和保管，确保在参加采购活动期间能够正常使用，严格授权管理，防止非授权操作。
三、供应商应当自行准备电子化采购所需的计算机终端、软硬件及网络环境，承担因准备不足产生的不利后果。
四、采购平台技术支持：
在线客服：通过四川政府采购网
-
在线客服进行咨询
400
服务电话：
4001600900
CA
及签章服务电话：通过四川政府采购网
-
办事指南进行查
询",四川省,医疗健康,四川国际招标有限责任公司,zhaobiao_1767005143_3.txt,zhaobiao,公开招标,设备
4,N5105012025000575,2025年超长期特别国债医疗设备（数字化医用X射线摄影系统（DR））,N5105012025000575,2025年超长期特别国债医疗设备（数字化医用X射线摄影系统（DR））,泸州市中医医院,泸州市纳溪区杏林路80号（城南院区综合采购部）,0830-2962180,,,,详见采购需求附件,详见采购需求附件,1,详见招标文件,107.0,采购包1：合同签订之日起15日内完成安装交货,公开招标,2025年12月29日 18:30,2025年12月29日 18:30,"1、计划号: 51050025210200006784[2025]00267
2、采购包1：预算金额（元）: 详见采购需求
3、监督管理部门：泸州市财政局政府采购监督管理科，联系电话：0830-2282871；0830-3101562；
4、本项目需要落实的政府采购政策：促进中小企业发展，促进监狱企业发展，促进残疾人福利性单位发展，扶持不发达地区或少数民族地区。
5、为助力解决政府采购成交供应商资金不足、融资难、融资贵的困难，促进供应商依法诚信参加政府采购活动，根据《关于进一步提高政府采购透明度和采购效率相关事项的通知》（财办库〔2023〕243号）《四川省财政厅关于推进四川省政府采购供应商信用融资工作的通知》（川财采﹝2018﹞123号）规定，有融资需求的供应商可登录四川政府采购网—金融服务平台，选择符合自身情况的“政采贷”银行及其产品，凭项目成交结果、成交通知书等信息在线向银行提出贷款意向申请、查看贷款审批情况等。
电子化采购相关事项：本项目实行电子化采购，使用的电子化交易系统为：四川省政府采购一体化平台的项目电子化交易系统（以下简称“交易系统”），登录地址：四川政府采购网（www.ccgp-sichuan.gov.cn）首页供应商用户登录入口。供应商应当按照以下要求，参与本次电子化采购活动。
一、供应商应当在四川政府采购网-办事指南查看四川省政府采购一体化平台（以下简称“采购平台”）操作规范，并严格按照操作规范要求进行系统操作。供应商参与本项目电子化采购活动的范围主要包括：获取磋商文件，编制、签章、加密并提交响应文件，参加开启、解密响应文件和电子评审，签订采购合同等。
二、供应商应当使用纳入全国公共资源交易平台（四川省）数字证书互认范围的数字证书和电子印章，参加本项目电子化采购活动；已按规定办理数字证书和电子印章的供应商，按照采购平台操作规范进行身份信息绑定、权限设置和系统操作。未办理互认的数字证书和电子印章的供应商，可在四川省公共资源交易信息网-办事指南或者四川政府采购网-办事指南查询办理渠道。
供应商使用数字证书登录采购平台进行的一切系统操作和加盖电子印章确认的电子文书资料，均属于供应商真实意思表示，供应商对其系统操作行为和电子印章确认事项承担法律责任。
供应商应当加强数字证书和电子印章的日常校验和保管，确保在参加采购活动期间能够正常使用，严格授权管理，防止非授权操作。
三、供应商应当自行准备电子化采购所需的计算机终端、软硬件及网络环境，承担因准备不足产生的不利后果。
四、采购平台技术支持：
在线客服：通过四川政府采购网-在线客服进行咨询
400服务电话：4001600900
CA及签章服务：通过四川政府采购网-办事指南进行查询",四川省,医疗健康,四川国际招标有限责任公司,zhaobiao_1767005162_4.txt,zhaobiao,公开招标,设备
5,330681251400010000042-诸正开2025-12-24,诸暨市老旧房屋动态监测服务采购,330681251400010000042-诸正开2025-12-24,诸暨市老旧房屋动态监测服务采购,诸暨市住房和城乡建设局,诸暨市东一路68号,18368582964,,,,标项名称：,标项名称：,1,详见招标文件,600.0,标项 1，自合同签订日期起3年,公开招标,2025年12月29日 18:30,2025年12月29日 18:30,"1.《浙江省财政厅关于进一步发挥政府采购政策功能全力推动经济稳进提质的通知》（浙财采监（2022）3号）、《浙江省财政厅关于进一步促进政府采购公平竞争打造最优营商环境的通知》（浙财采监（2021）22号））、《浙江省财政厅关于进一步加大政府采购支持中小企业力度助力扎实稳住经济的通知》（浙财采监（2022）8号）已分别于2022年1月29日、2022年2月1日和2022年7月1日开始实施，此前有关规定与上述文件内容不一致的，按上述文件要求执行。
2.根据《浙江省财政厅关于进一步促进政府采购公平竞争打造最优营商环境的通知》（浙财采监（2021）22号）文件关于“健全行政裁决机制”要求，鼓励供应商在线提起询问，路径为：政采云-项目采购-询问质疑投诉-询问列表:鼓励供应商在线提起质疑，路径为：政采云-项目采购-询问质疑投诉-质疑列表。质疑供应商对在线质疑答复不满意的，可在线提起投诉，路径为：政采云平台-项目采购-询问质疑投诉-投诉列表。
3.供应商认为采购文件使自己的权益受到损害的，可以自获取采购文件之日或者采购公告期限届满之日（公告期限届满后获取采购文件的，以公告期限届满之日为准）起7个工作日内，对采购文件需求的以书面形式向采购人提出质疑，对其他内容的以书面形式向采购人和采购代理机构提出质疑。质疑供应商对采购人、采购代理机构的答复不满意或者采购人、采购代理机构未在规定的时间内作出答复的，可以在答复期满后十五个工作日内向同级政府采购监督管理部门投诉。质疑函范本、投诉书范本请到浙江政府采购网下载专区下载。
4.其他事项：
（1）需要落实的政府采购政策：包括节约资源、保护环境、支持创新、促进中小企业发展等，详见招标文件的第二部分投标人须知-总则。
（2）单位负责人为同一人或者存在直接控股、管理关系的不同供应商，不得参加同一合同项下的政府采购活动；为采购项目提供整体设计、规范编制或者项目管理、监理、检测等服务后不得再参加该采购项目的其他采购活动。
（3）电子招投标的说明：
①电子招投标：本项目以数据电文形式，依托“政府采购云平台（www.zcygov.cn）”进行招投标活动，不接受纸质投标文件；②投标准备：注册账号--点击“商家入驻”，进行政府采购供应商资料填写；申领CA数字证书---申领流程详见“浙江政府采购网-下载专区-电子交易客户端-CA驱动和申领流程”；安装“政采云电子交易客户端”----前往“浙江政府采购网-下载专区-电子交易客户端”进行下载并安装；③招标文件的获取：使用账号登录或者使用CA登录政府采购云平台；进入“项目采购”应用，在获取采购文件菜单中选择项目，获取招标文件；④对未按上述方式获取招标文件的供应商，视为未参与该项政府采购活动，不具备对该政府采购项目提出质疑的法定权利，但因供应商资格条件或报名时间设定不符合有关法律法规规定等原因使供应商权益受损的除外；⑤投标文件的制作：在“政采云电子交易客户端”中完成“填写基本信息”、“导入投标文件”、“标书关联”、“标书检查”、“电子签名”、“生成电子标书”等操作；⑥不提供招标文件纸质版；⑦投标文件的传输递交：投标人在投标截止时间前将加密的投标文件上传至政府采购云平台，还可以在投标截止时间前递交备份投标文件1份。备份投标文件的制作、递交详见招标文件第二部分第15点—“备份投标文件”； ⑧投标文件的解密：投标人按照平台提示和招标文件的规定在30分钟内完成在线解密。通过“政府采购云平台”上传递交的投标文件无法按时解密，投标供应商递交了备份投标文件的，以备份投标文件为依据，否则视为投标文件撤回。通过“政府采购云平台”上传递交的投标文件已按时解密的，备份投标文件自动失效。投标人仅提交备份投标文件，没有在电子交易平台传输递交投标文件的，投标无效；⑨具体操作指南：详见政府采购云平台“服务中心-帮助文档-项目采购-操作流程-电子招投标-政府采购项目电子交易管理操作指南-供应商”。
（4）招标文件公告期限与招标公告的公告期限一致。
（5）为进一步优化政府采购营商环境，拓展发挥政府采购政策功能，缓解供应商资金压力，供应商中标（成交）后可在“政府采购云平台”申请“政采贷”，操作路径：登录“政府采购云平台”——金融服务中心——融资服务，可在热门申请中选择产品直接申请，也可点击云智贷匹配适合产品进行申请，或者在可申请项目中根据该项目进行申请。",浙江省,服务业,诸暨正开工程咨询有限公司,zhaobiao_1767005165_5.txt,zhaobiao,公开招标,服务
6,JH25-210000-82066,腹腔镜及配套设备采购,JH25-210000-82066,腹腔镜及配套设备采购,辽宁省肿瘤医院,辽宁省沈阳市大东区小河沿路44号,024-81916710,,,,查看,查看,1,详见招标文件,260.0,本合同自签订之日起生效，至本项目（货物）安装调试完并经验收合格且质量保证期结束之日止（具体以甲乙双方签订合同内容为准）；交货时间及要求：签订合同后，供应商须在接到甲方通知后的30日内完成合同项下所有产品的供货。同时，完成产品的安装、调试工作，完成对采购方相关人员的培训工作，并达到项目交付待验收状态。,公开招标,2025年12月29日 18:30,2025年12月29日 18:30,沈阳市和平区文艺路11号华润大厦B座1503 代理机构联系方式: 024-31325151,辽宁省,设备采购,辽宁励合招标代理有限公司,zhaobiao_1767005168_6.txt,zhaobiao,公开招标,设备
7,310000000251107150415-00293870,部分省道桥梁定期检查一标,310000000251107150415-00293870,部分省道桥梁定期检查一标,上海市道路运输事业发展中心,上海市徐家汇路579号,021-53016891,,,,包名称：,包名称：,1,详见招标文件,207.0,自合同签订之日起至2026年12月。,公开招标,2025年12月29日 18:26,2025年12月29日 18:26,/,上海市,其他,上海广汇杰工程造价咨询有限责任公司,zhaobiao_1767005172_7.txt,zhaobiao,公开招标,其他
8,[350001]FJLQ[GK]2025037,福建省环境监测中心站应急监测能力提升项目,[350001]FJLQ[GK]2025037,福建省环境监测中心站应急监测能力提升项目,福建省环境监测中心站,福州市鼓楼区福飞南路138号,0591-83571292,,,,（包括但不限于标的的名称、数量、简要技术需求或服务要求等）,（包括但不限于标的的名称、数量、简要技术需求或服务要求等）,1,详见招标文件,190.5,合同签订后90日内到货。,公开招标,2025年12月29日 18:25,2025年12月29日 18:25,福州市鼓楼区工业路523号福大怡山文化创意园北区3号楼101 代理机构联系方式: 0591-63037998,福建省,环境保护,福建立勤项目管理有限公司,zhaobiao_1767005177_8.txt,zhaobiao,公开招标,其他
9,N5100012025003478,超长期国债高水平公共研究平台设备更新项目-中医药创新研究科研平台创研采购项目1(二次),N5100012025003478,超长期国债高水平公共研究平台设备更新项目-中医药创新研究科研平台创研采购项目1(二次),成都中医药大学,成都市温江区柳台大道1166号,曾老师 028-61801010,,,,详见采购需求附件,详见采购需求附件,1,详见招标文件,1708.0,采购包1：签订合同后90个日历日内到货,公开招标,2025年12月29日 18:24,2025年12月29日 18:24,"本项目实行电子化采购，使用的电子化交易系统为：四川省政府采购一体化平台（以下简称“采购一体化平台”）的项目电子化交易系统（以下简称项目电子化交易系统），登录方式及地址：通过四川政府采购网（www.ccgp-sichuan.gov.cn）首页供应商用户登录采购一体化平台，进入项目电子化交易系统。供应商应当按照以下要求，参与本次电子化采购活动。
（一）供应商应当自行在四川政府采购网-办事指南查看相应的系统操作指南，并严格按照操作指南要求进行系统操作。在登录、使用采购一体化平台前，应当按照要求完成供应商注册和信息完善，加入采购一体化平台供应商库。
（二）供应商应当使用纳入全国公共资源交易平台（四川省）数字证书互认范围的数字证书及签章（以下简称“互认的证书及签章”）进行系统操作。供应商使用互认的证书及签章登录采购一体化平台进行的一切操作和资料传递，以及加盖电子签章确认采购过程中制作、交换的电子数据，均属于供应商真实意思表示，由供应商对其系统操作行为和电子签章确认的事项承担法律责任。
已办理互认的证书及签章的供应商，校验互认的证书及签章有效性后，即可按照系统操作要求进行身份信息绑定、权限设置和系统操作；未办理互认的证书及签章的供应商，按要求办理互认的证书及签章并校验有效性后，按照系统操作要求进行身份信息绑定、权限设置和系统操作。互认的证书及签章的办理与校验，可查看四川政府采购网-办事指南。
供应商应当加强互认的证书及签章日常校验和妥善保管，确保在参加采购活动期间互认的证书及签章能够正常使用；供应商应当严格互认的证书及签章的内部授权管理，防止非授权操作。
（三）供应商应当自行准备电子化采购所需的计算机终端、软硬件及网络环境，承担因准备不足产生的不利后果。
（四）采购一体化平台技术支持：
在线客服：通过四川政府采购网-在线客服进行咨询
400服务电话：4001600900
CA及签章服务：通过四川政府采购网-办事指南进行查询
计划备案号：51000025210200068356[2025]03438
采购品目：A02102100 教学仪器
采购监督机构：四川省财政厅，联系电话：028-86723581、028-86723539、028-86723553，联系地址：四川省成都市锦江区学道街26号。
本项目需要落实的政府采购政策：促进中小企业发展、促进监狱企业发展、促进残疾人福利性单位发展、扶持不发达地区和少数民族地区。
各包采购预算及最高限价详见附件。",四川省,设备采购,四川国际招标有限责任公司,zhaobiao_1767005180_9.txt,zhaobiao,公开招标,设备
10,HCZB-2025-（采）-036,宁夏回族自治区森林病虫防治检疫总站宁夏林业有害生物监测预警及应急防控体系能力提升更新补充采购项目,HCZB-2025-（采）-036,宁夏回族自治区森林病虫防治检疫总站宁夏林业有害生物监测预警及应急防控体系能力提升更新补充采购项目,宁夏回族自治区森林病虫防治检疫总站,银川市金凤区农垦大厦B座,0951-6836801,,,,采购标段,采购标段,1,详见招标文件,91.95,合同签订后90天内到货。,公开招标,2025年12月29日 18:21,2025年12月29日 18:21,1.参加投标供应商，请于“获取招标文件时间内”登录宁夏回族自治区公共资源交易网，通过CA锁进行网上报名，报名成功后，不要拔锁，按系统提示即可下载电子版招标文件。 3.宁夏公共资源电子交易系统实行CA锁认证安全登录管理，请及时将软硬件升级更新至最新版本。办理 CA证书及 CA 证书升级更新事宜请通过“宁夏公共资源交易网”首页快捷入口“CA 办理”模块查看。 4.未在规定时间内按以上程序进行网上报名登记及下载招标文件的投标供应商，投标一律不予接收。 5.本项目采用网上“不见面开标”方式，投标供应商开标时可不到开标现场，通过网上在线参与开标，完成在线远程投标文件解密。解密要求：①投标供应商使用CA锁进行远程解密，解密的CA锁与生成加密电子投标文件时的CA锁须为同一个CA锁，否则无法解密，造成的后果由投标供应商自行负责。②投标文件递交截至时间后根据系统提示，在规定的时间内进行解密（解密时间40分钟），未在规定时间内完成解密，其投标文件将被拒绝，不参与后续投标流程。具体操作流程参照宁夏回族自治区公共资源交易网-服务指南-操作手册-宁夏不见面开标系统-政府采购操作手册-(投标供应商），由于系统按标段进行公布投标人后才可进行解密，未公布投标人的需在线等待公布投标人后进行解密。 6.本次公开招标公告在《中国政府采购网》、《宁夏回族自治区政府采购网》、《宁夏回族自治区公共资源交易网》上同时发布。 注：请各投标人在开标前随时关注宁夏回族自治区公共资源交易网“变更补遗”公告栏。您所关注的项目有可能进行时间或内容上的调整。调整内容只在“变更补遗”等公告栏中以公告形式公示。招标代理机构及采购人不再以其他方式通知。如因自身原因未及时关注招标公告或变更(澄清、补充等)公告从而导致投标失败，其后果自行承担。,宁夏回族自治区,林业草原,宁夏汇程项目管理有限公司,zhaobiao_1767005184_10.txt,zhaobiao,公开招标,其他
