company_name,credit_code,registration_date,company_type,legal_representative,registered_capital,registered_capital_value,registered_capital_unit,province,city,registration_address,business_scope,is_agriculture,is_manufacturing,company_scale,business_keyword_count,data_quality_score
上海 仓祥 绿化 工程 有限公司,91310117MA1J3AJ43G,2019-01-02,未知类型,陈磊,"1,000(万元人民币)",0.0,万元,上海,松江,上海市 松江区 叶榭镇 叶旺路 1 号 三楼,园林绿化 工程 ； 建筑装修 装饰 建设工程 专业 施工 ， 河湖 整治 建设工程 专业 施工 ， 市政 公用 建设 工程施工 ， 城市 及 道路 照明 建设工程 专业 施工 ， 消防设施 建设工程 专业 施工 ， 环保 建设工程 专业 施工 ； 风景园林 建设工程 专项 设计 ； 绿化 服务 ， 保洁 服务 ； 盆景 租赁 ； 树木 花卉 批发 零售 。 依法 须 经 批准 的 项目 ， 经 相关 部门 批准 后方 可 开展 经营 活动,否,否,微型,73,6
上海 也 兴 网络科技 合伙 企业 有限 合伙,91310114MA1GW3GC65,2019-01-02,有限合伙,王皖秦,0(万元),0.0,万元,上海,嘉定,上海市 嘉定区 真 南路 4268 号 2 幢 J7579 室,网络科技 ( 不得 从事 科技 中介 ) ， 企业 管理 ， 商务 咨询 ， 设计 制作 代理 各类 广告 。 依法 须 经 批准 的 项目 ， 经 相关 部门 批准 后方 可 开展 经营 活动,否,否,微型,36,8
上海 伍戴 实业 有限公司,91310117MA1J3AJE51,2019-01-02,未知类型,伍齐强,300(万元人民币),0.0,万元,上海,松江,上海市 松江区 九亭 镇九新 公路 339 号 1 幢 14 楼,厨房设备 机械设备 及 配件 制冷 设备 通风设备 净化 设备 安装 维修 及 销售 ； 不锈钢 制品 酒店用品 批发 零售 ； 商务信息 咨询 ； 会务 会展 服务 ； 设计 制作 各类 广告 利用 自有 媒体 发布 各类 广告 ； 从事 货物 及 技术 的 进出口 业务 。 依法 须 经 批准 的 项目 ， 经 相关 部门 批准 后方 可 开展 经营 活动,否,否,微型,62,6
上海 丹铭 电气 科技 有限公司,91310117MA1J3AHG9R,2019-01-02,未知类型,潘光吉,"1,580(万元人民币)",0.0,万元,上海,松江,上海市 松江区 小 昆山 镇港业 路 158 弄 2 号 B168 幢,电气 科技领域 内 的 技术开发 技术 服务 技术咨询 技术转让 ； 电气设备 变频器 工业 自动化 设备 消防器材 研发 加工 及 销售 。 依法 须 经 批准 的 项目 ， 经 相关 部门 批准 后方 可 开展 经营 活动,否,是,微型,37,6
上海 何衢 贸易 有限公司,91310112MA1GCAFQ4F,2019-01-02,未知类型,刘慧彬,"1,000(万元人民币)",0.0,万元,上海,闵行,上海市 闵行区 金都路 4299 号 6 幢 1 楼 X16 室,办公用品 日用百货 通信 设备 电子产品 电线电缆 劳防 用品 化工原料 及 产品,否,否,微型,11,6
上海 为晨 教育 科技 有限公司,91310113MA1GN75T78,2019-01-02,未知类型,位世华,10(万元人民币),0.0,万元,上海,宝山,上海市 宝山区 蕴川路 1498 弄 69 号,从事 教育 科技 教育软件 科技领域 内 的 技术开发 技术转让 ； 计算机软件 开发 ； 计算机信息 系统集成 ； 商务信息 咨询 ； 企业 形象设计 ； 企业 管理 咨询 ； 玩具 数码 电子产品 文体用品 开发 设计 和 销售 ； 文化 艺术交流 及 活动 策划 ； 会务 服务 ； 展览 展示 服务 。 依法 须 经 批准 的 项目 ， 经 相关 部门 批准 后方 可 开展 经营 活动,否,否,微型,64,6
上海 代居 科技 有限公司,91310114MA1GW3HX46,2019-01-02,未知类型,吴巨鹏,"1,000(万元人民币)",0.0,万元,上海,嘉定,上海市 嘉定区 叶城 路 1288 号 6 幢 J1875 室,从事 信息 科技 智能 科技 网络科技 领域 内 的 技术开发 技术转让 技术咨询 技术 服务 ， 软件开发 ， 电子商务,否,否,微型,18,6
上海 七里 街 信息 科技 有限公司,91310114MA1GW3HUXH,2019-01-02,未知类型,肖爱峰,100(万元人民币),0.0,万元,上海,嘉定,上海市 嘉定区 江桥 镇 沙河 路 337 号 1 _ 203 室 J1561,从事 信息技术 计算机技术 领域 内 的 技术开发 技术转让 技术咨询 技术 服务 ， 图文 设计 制作 ， 网络工程 ， 计算机系统 集成 ， 计算机 的 安装 维修 ， 计算机软件 及 辅助 设备 通讯器材 机电设备 电子产品 日用品 的 销售 ， 企业 管理 ， 企业 管理 咨询 ， 会务 服务 ， 展览 展示 服务 ， 设计 制作 代理 各类 广告 。 依法 须 经 批准 的 项目 ， 经 相关 部门 批准 后方 可 开展 经营 活动,否,否,微型,73,6
上海 保铭 机电 科技 有限公司,91310110MA1G8W9W3L,2019-01-02,未知类型,朱少宝,513(万元人民币),0.0,万元,上海,杨浦,上海市 杨浦区 翔 殷路 165 号 9 幢 五层 集中 登记 地,机电 科技 智能 科技 环保 科技领域 内 的 技术开发 技术转让 技术咨询 技术 服务 ， 机电设备 机械设备 智能 设备 环保 设备 的 安装 与 维修 ， 机电设备 及 配件 机械设备 及 配件 环保 设备 及 配件 智能 产品 电子产品 的 销售 ， 会务 服务 ， 展览 展示 服务 ， 商务信息 咨询 。 依法 须 经 批准 的 项目 ， 经 相关 部门 批准 后方 可 开展 经营 活动,否,否,微型,67,6
上海 仟禧 猫 贸易 有限公司,91310120MA1HQGWT0C,2019-01-02,未知类型,郑书娟,100(万元人民币),0.0,万元,上海,奉贤,上海市 奉贤区 明城路 1088 弄 7 号 1 - 2 层,工艺礼品 陶瓷制品 化妆品 皮革制品 塑料制品 针纺织品 服装鞋帽 箱包 床上用品 家具 日用百货 环保 设备 五金交电 办公用品 文具用品 玩具 体育用品 通讯设备 宠物用品 一般 劳防 用品 数码产品 计算机软件 及 辅助 设备 电子产品 节能 设备 批发 零售 ， 企业形象 策划 ， 企业 营销策划 。 依法 须 经 批准 的 项目 ， 经 相关 部门 批准 后方 可 开展 经营 活动 。,否,否,微型,57,6
上海 二毛 信息 咨询 有限公司,91310113MA1GN77J8E,2019-01-02,未知类型,唐晶晶,50(万元人民币),0.0,万元,上海,宝山,上海市 宝山区 沪 太路 6397 号 1 - 2 层 F37 区 1055 室,商务信息 咨询 ； 计算机软件 的 研发 ； 文化 艺术交流 策划 ； 公关活动 策划 ； 体育赛事 策划 ； 运动器材 的 销售 租赁 ； 体育用品 玩具 健身器材 办公用品 日用百货 服装鞋帽 的 销售 ； 设计 制作 发布 代理 广告 ； 从事 教育 科技领域 内 的 技术开发 技术转让 。 依法 须 经 批准 的 项目 ， 经 相关 部门 批准 后方 可 开展 经营 活动,否,否,微型,61,6
