company_name,credit_code,registration_date,company_type,legal_representative,registered_capital,registered_capital_value,registered_capital_unit,province,city,registration_address,business_scope,is_agriculture,is_manufacturing,company_scale,business_keyword_count,data_quality_score
东方 普拉特 ( 北京 ) 建筑设计 有限公司,91110113MA01GHE6XA,2019-01-02,未知类型,边保阳,100(万元人民币),0.0,万元,北京,顺义,北京市 顺义区 南法 信镇信 中街 12 号院 8 号楼 102 门 3 层 3009 室,工程技术 咨询 ； 电脑 图文 设计 制作 ； 工程设计 。,否,否,微型,10,6
中检科 教育 科技 ( 北京 ) 有限公司,91110105MA01GHN16Q,2019-01-02,未知类型,代汉慧,100万元人民币,0.0,万元,北京,朝阳,北京市 朝阳区 高碑店 北路甲 3 号 2 号楼 4 层 B416,"技术开发 技术推广 技术 服务 技术咨询 ; 销售 仪器仪表 ; 软件开发 ; 货物 进出口 技术 进出口 。 ( 企业 依法 自主 选择 经营项目 , 开展 经营 活动 ; 依法 须 经 批准 的 项目 , 经 相关 部门 批准 后 依 批准 的 内容 开展 经营 活动 ; 不得 从事 本市 产业政策 禁止 和 限制 类 项目 的 经营 活动 。 )",否,否,微型,61,6
中安 聚鑫 ( 北京 ) 物业管理 有限公司,91110112MA01GHBU7C,2019-01-02,未知类型,刘杰,"1,000(万元人民币)",0.0,万元,北京,通州,北京市 通州区 玉 桥西 里 71 号楼 2 幢 三层 313,物业管理 ； 酒店 管理 ； 企业 管理 ； 出租 商业 用房 办公用房 不得 作为 有形 市场 经营 用房 ； 房地产 开发 ； 技术 服务 技术开发 技术推广 技术咨询 技术转让 ； 企业 管理 咨询 ； 企业形象 策划 ； 软件开发 ； 会议 服务 ； 基础 软件 服务 ； 应用软件 服务 ； 产品设计 ； 组织 文化 艺术交流 活动 ； 零售 文化用品 电子产品 ； 设计 制作 代理 发布 广告 ； 机动车 公共 停车场 经营 管理 。,否,否,微型,71,6
东方 环亚 国际 货物运输 代理 ( 北京 ) 有限公司,91110109MA01GHNR9L,2019-01-02,未知类型,王靖,"1,000(万元人民币)",0.0,万元,北京,门头沟,北京市 门头沟区 曹 各庄 路 34 号院 3 号楼 12 层 1209,货运 代理 ； 仓储 服务 不 含 危险 化学品 ； 包装 服务 不 含 危险品 包装 ； 经济 信息 咨询 ； 货物 进出口 ； 技术 进出口 ； 代理 进出口 。,否,否,微型,30,6
东弘凯润 ( 北京 ) 科技 有限公司,91110105MA01GH7U1Y,2019-01-02,未知类型,裴洪飞,60万元人民币,0.0,万元,北京,朝阳,北京市 朝阳区 高碑店 乡 半壁店 村惠 河南 街 1089 号 1 层 F248,"技术咨询 技术 服务 技术推广 技术开发 技术转让 ; 物业管理 ; 企业 管理 ; 销售 机械设备 电子产品 建筑材料 空调 制冷 设备 文具用品 日用品 ; 设计 制作 代理 发布 广告 ; 太阳能 发电 。 ( 企业 依法 自主 选择 经营项目 , 开展 经营 活动 ; 依法 须 经 批准 的 项目 , 经 相关 部门 批准 后 依 批准 的 内容 开展 经营 活动 ; 不得 从事 本市 产业政策 禁止 和 限制 ...",否,否,微型,70,6
中旭 量子 ( 北京 ) 医疗 科技 有限公司,91110108MA01GHMD81,2019-01-02,未知类型,周平,500万元人民币,0.0,万元,北京,海淀,北京市 海淀区 中关村 东路 1 号院 6 号楼 二层 KJ202 - 85 号,"技术开发 技术推广 技术转让 技术咨询 技术 服务 ; 销售 自行 开发 的 产品 ; ... 数据处理 ( 数据处理 中 的 银行卡 中心 PUE 值 在 1.4 以上 的 云 计算 数据中心 除外 ) 。 ( 企业 依法 自主 选择 经营项目 , 开展 经营 活动 ; 依法 须 经 批准 的 项目 , 经 相关 部门 批准 后 依 批准 的 内容 开展 经营 活动 ; 不得 从事 本市 产业政策 禁止 和 限制 类 项目 的 经营 活动 。 )",否,否,微型,78,6
上海 心鹿 心理咨询 有限公司 北京 第一分 公司,91110105MA01GHWJ0R,2019-01-02,未知类型,许汉雄,0(万元),0.0,万元,北京,朝阳,北京市 朝阳区 垡头 村北人 集团公司 第十 印刷 机械厂 19 幢 一层 124 号,心理咨询 ( 不 含 诊疗 活动 ) ; 健康 咨询 ( 须 经 审批 的 诊疗 活动 除外 ) ; 组织 文化 艺术交流 活动 ( 不 含 演出 ) ; 设计 制作 广告 ; 电脑 图文 设计 ; 市场 调查 ; 会议 服务 ; 企业 管理 咨询 ; 公共关系 服务 ; 礼仪 服务 ; 承办 展览 展示 活动 ; 销售 电子产品 计算机软件 及 辅助 设备 家用电器 日用品 化妆品 五金交电 ( 不 含 电动 自行车 ) 。 ( 企业 依法 自主 选择 经营项目 ...,否,否,微型,83,6
三时 春光 ( 北京 ) 策划 咨询 有限公司,91110112MA01GH4Y5H,2019-01-02,未知类型,潘慧敏,100(万元人民币),0.0,万元,北京,通州,北京市 通州区 榆西 一街 1 号院 4 号楼 5 层 501 室 396 号,经济 贸易 咨询 ； 企业 管理 咨询 ； 承办 展览 展示 ； 会议 服务 ； 市场 调查 ； 企业 策划 ； 设计 制作 代理 发布 广告 ； 电脑 图文 设计 ； 组织 文化 艺术交流 活动 ； 技术推广 。,否,否,微型,38,6
上海 和 兆 服饰 有限公司 北京 海淀 第一分 公司,91110108MA01GH8F50,2019-01-02,未知类型,梅振业,0(万元),0.0,万元,北京,海淀,北京市 海淀区 翠微路 12 号 3 层 307 - 36B 号,销售 服装 。,否,否,微型,3,6
中永铭 萱 信息 咨询服务 有限公司 朝阳 二 公司,91110105MA01GHUE7M,2019-01-02,未知类型,康雪银,0(万元),0.0,万元,北京,朝阳,北京市 朝阳区 北辰 西路 69 号 8 层 1 单元 902 号,"信息技术 咨询服务 ; 健康 管理 ( 须 经 审批 的 诊疗 活动 除外 ) ; 健康 咨询 ( 须 经 审批 的 诊疗 活动 除外 ) 。 ( 依法 须 经 批准 的 项目 , 经 相关 部门 批准 后 依 批准 的 内容 开展 经营 活动 。 )",否,否,微型,49,6
