company_name,credit_code,registration_date,company_type,legal_representative,registered_capital,registered_capital_value,registered_capital_unit,province,city,registration_address,business_scope,is_agriculture,is_manufacturing,company_scale,business_keyword_count,data_quality_score
利辛县 新张 集乡 王茹 养殖场,92341623MA2TCYQG1Y,2019-01-02,未知类型,王永茹,0(万元),0.0,万元,安徽,亳州,安徽省 亳州市 利辛县 新张 集乡 张集 社区 张集,牛羊 狗 养殖 玉米 大豆 小麦 瓜果 蔬菜 种植 依法 须 经 批准 的 项目 ， 经 相关 部门 批准 后方 可 开展 经营 活动,是,否,微型,25,6
合肥 好 优家 家具 有限公司,91340100MA2TD0A288,2019-01-02,未知类型,沈涛,5(万元),5.0,万元,安徽,合肥,安徽省 合肥市 高新区 保利 梧桐 语 4 栋 901,家具 销售 上门 安装 及 上门 维修 。,否,否,微型,8,8
合肥 助维畅 汽车 服务 有限公司,91340104MA2TD2919W,2019-01-02,未知类型,徐为为,500(万元),500.0,万元,安徽,合肥,安徽省 合肥市 蜀山区 稻香 路 1088 号 香山 丽舍 3 幢 商 108 室,汽车 维修保养 服务 ； 汽车 事务 代理 ； 道路 清障 ； 汽车 及 配件 汽车用品 销售 。,否,否,中型,17,8
利辛县 瑞恒 金属材料 有限公司,91341623MA2TD0788X,2019-01-02,未知类型,冯亚红,300(万元),300.0,万元,安徽,亳州,安徽省 亳州市 利辛县 工业园 科技 路,钢材 批发 零售 。,否,否,中型,4,8
临泉县 金凯 服装 有限公司,91341221MA2TD1JA3L,2019-01-02,未知类型,张晓艳,50(万元),50.0,万元,安徽,阜阳,安徽省 阜阳市 临泉县 杨桥 镇 致富路 三巷 12 号,服装 加工 线 上线 下 销售 。,否,是,小型,7,8
合肥 宝仟 企业 发展 服务 有限公司,91340122MA2TD0QU9G,2019-01-02,未知类型,杨家英,50(万元),50.0,万元,安徽,合肥,安徽省 合肥市 肥东县 陈 集镇 陈集 社区 办公大楼,企业 信息 咨询 及 服务 ； 会计 审计 及 税务 事务 代理服务 。,否,否,小型,13,8
凤阳县 道霞 水泥 涵管 有限公司,91341126MA2TD1PBXM,2019-01-02,未知类型,刘道霞,100(万元),100.0,万元,安徽,滁州,安徽省 滁州市 凤阳县 武店 镇 武店 村,水泥 涵管 制造 销售 。,否,是,中型,5,8
合肥市 心合 瑜伽 健身 管理 有限公司,91340104MA2TD0YC2B,2019-01-02,未知类型,张梦鑫,100(万元),100.0,万元,安徽,合肥,安徽省 合肥市 蜀山区 东至 路 8 号 香樟 雅苑 10 幢 606 室,瑜伽 健身 管理 ； 健身 信息 咨询 ； 瑜伽 产品 健身器材 化妆品 日用百货 服装鞋帽 销售 ； 美容 养生 信息 咨询 ； 公关活动 策划 ； 演出 活动 策划 。,否,否,中型,28,8
合肥 家 萓 贸易 有限公司,91340123MA2TD21D63,2019-01-02,未知类型,刘爱珍,100(万元),100.0,万元,安徽,合肥,安徽省 合肥市 肥西县 上 派 镇 新华街 水晶城 218 号 门面,化妆品 及 卫生用品 销售 ， 预 包装 食品 批发 ， 保健食品 销售 ， 生物 技术推广 服务 。,否,否,中型,17,8
合肥市 绍正 劳务 管理 服务 有限公司,91340122MA2TCY8Q9K,2019-01-02,未知类型,邵正宝,200(万元),200.0,万元,安徽,合肥,安徽省 合肥市 肥东县 陈 集镇 陈集 社区 广响 路 305 号,劳务 管理 服务 ； 企业 管理 咨询 与 策划 ； 文化交流 与 艺术 策划 ； 会议 及 展览 包装 翻译 基础 软件 装卸 及 搬运 仓储 危险品 除外 礼仪 餐饮 服务 ； 商务 辅助 服务 ； 人事 事务 代理服务 ； 企业 信息管理 服务 ； 经济 代理服务 ； 经济 贸易 信息 税务 信息 软件 信息 健康 信息 及 商务信息 咨询 ； 市场 调查 ； 产品设计 ； 展览 展示 活动 承办 ； 劳务 外 包 对外劳务 合作 除外 。 依法 经 批准 的 项目 ， 经 相关 部门 批准 后方 可 开展 经营 活动,否,否,中型,92,8
亳州市 药善园 农副产品 有限责任 公司,91341600MA2TD14739,2019-01-02,未知类型,张晨阳,100(万元),100.0,万元,安徽,亳州,安徽省 亳州市 经开区 望龙 社区 王詹庄 高庄 57 号,农副产品 购销 。,否,否,中型,3,8
六安市 梁氏 家具 有限公司,91341500MA2TD0MM8B,2019-01-02,未知类型,胡传余,50(万元),50.0,万元,安徽,六安,安徽省 六安市 裕安区 水洗 绒厂 瑶海 家具城 1 号 商铺,家具 家居用品 办公 家居 家居饰品 床上用品 窗帘 椅垫 销售 。,否,否,小型,10,8
六安市 田园 牧歌 户外用品 有限公司,91341503MA2TD1QL8X,2019-01-02,未知类型,黄以恩,100(万元),100.0,万元,安徽,六安,安徽省 六安市 裕安区 经济 开发区 宝林 路 与 红旗路 交叉口 闽南 工业园 内,户外用品 帐篷 遮阳伞 车 篷车 衣 汽车用品 汽摩配 件 汽车 内饰 箱包 服装鞋帽 游泳 用品 五金配件 服装面料 针纺织品 塑料制品 文化用品 办公用品 日用百货 渔具 用品 电子产品 的 销售 。,否,否,中型,28,8
亳州市 驰顺 汽车 销售 服务 有限公司,91341600MA2TCY0H4R,2019-01-02,未知类型,杨龙,50(万元),50.0,万元,安徽,亳州,安徽省 亳州市 经开区 漆园 路 与 合欢 路 交叉路口 圆通 电商 产业园 内 C 单元 6 栋 101 室,汽车 销售 ； 汽车信息 咨询服务 ； 汽车 租赁 不 配备 操作 人员 依法 须 经 批准 的 项目 ， 经 相关 部门 批准 后方 可 开展 经营 活动,否,否,小型,28,8
临泉 爱意 果园 中小企业 服务 有限公司,91341221MA2TD25F8N,2019-01-02,未知类型,张立野,50(万元),50.0,万元,安徽,阜阳,安徽省 阜阳市 临泉县 邢塘 街道办 电商 产业园 24 栋 201,企业 管理 咨询 不 含 证券期货 保险 税务 咨询 财务咨询 商务信息 咨询 不 含 商务调查 金融 借贷 服务 ， 企业 外 包 服务 ， 企业 登记 记账 报税 社保 业务 代理 ， 网络 信息技术 开发技术 服务 技术咨询 技术转让 ， 版权 代理服务 ， 公共关系 服务 ， 市场 营销策划 推广 ， 广告设计 制作 代理 发布 。,否,否,小型,54,8
亳州市 阿进 服饰 有限公司,91341600MA2TD1KT58,2019-01-02,未知类型,芮前进,200(万元),200.0,万元,安徽,亳州,安徽省 亳州市 谯城区 十八里 镇集 西路 166 号,服装鞋帽 加工 销售 ； 服装辅料 销售 。,否,是,中型,7,8
合肥 庆海 木业 有限公司,91340121MA2TD19P2A,2019-01-02,未知类型,蒋琴,200(万元),200.0,万元,安徽,合肥,合肥市 长丰县 罗塘 乡合 淮路,木材 农副产品 苗木 收购 ； 木制品 加工 ； 板材 加工 销售 。,否,是,中型,12,8
合肥 建硕 科技 发展 有限公司,91340121MA2TD0LM1C,2019-01-02,未知类型,袁迪辉,100(万元),100.0,万元,安徽,合肥,长丰县 岗 集镇 合淮路 高速 路口 长丰 跃华 运输 有限责任 公司 内,汽车 零部件 的 研发 设计 生产 与 销售 。,否,是,中型,9,8
合肥 九里 春酒 业 有限公司,91340100MA2TD1XY9B,2019-01-02,未知类型,彭飞,50(万元),50.0,万元,安徽,合肥,安徽省 合肥市 高新区 望 江西 路 520 号 驰远 SOLO 创业园 C座 512 号,酒类 产品 生产 销售 ； 饮料 土特产 农副产品 包装 食品 茶叶 及 日用百货 橡 塑制品 家具用品 工艺礼品 计算机软件 及 辅助 设备 通信 器材 销售 含 网上 ； 商务信息 咨询 ； 企业 管理 服务 。,否,是,小型,34,8
六安市 叶集区 章奎 木材 加工厂,92341500MA2TCYJE08,2019-01-02,个体工商户,吴章奎,0(万元),0.0,万元,安徽,六安,六安市 叶集区 孙岗乡 白 龙井村,木材 成品 半成品 及其 卷皮 ， 生物 颗粒 加工 与 销售 。,否,是,微型,12,8
