contract_number,contract_name,project_number,project_name,buyer,buyer_address,buyer_contact,supplier,supplier_address,supplier_contact,main_target_name,specs,main_target_quantity,main_target_unit_price,contract_amount,performance_info,procurement_method,contract_sign_date,contract_announce_date,other_supplements,administrative_region,industry,agency,file_name,source
N5100012025003566,西南医科大学附属医院忠山院区第二住院大楼暨明康楼医疗辅助与环境消杀服务(二次)中标（成交）结果公告,N5100012025003566,忠山院区第二住院大楼暨明康楼医疗辅助与环境消杀服务(二次),西南医科大学附属医院,四川省泸州市江阳区太平街25号,陈老师，0830-2606107,四川民吉物业服务有限公司,泸州市江阳区康城路一段7号1号楼16层1602号,张慧静、周备,服务范围,服务要求,1,详见合同,"1,798,128.00元",服务标准,公开招标,2025年12月29日 18:17,2025年12月29日 18:17,中国（四川）自由贸易实验区成都市高新区天府四街66号航兴国际广场2号楼22层1号 代理机构联系方式: 13111881792,四川省,医疗健康,四川国际招标有限责任公司,zhongbiao_1767003960_1.txt,zhongbiao
N5100012025002656,西南医科大学附属医院2025年医疗设备第十五批(二次)中标（成交）结果公告,N5100012025002656,2025年医疗设备第十五批(二次),西南医科大学附属医院,四川省泸州市江阳区太平街25号,叶老师，0830-2606107,,,代雯、周备,品牌,详见招标文件,1,详见合同,432.730000,详见合同,公开招标,2025年12月29日 18:16,2025年12月29日 18:16,中国（四川）自由贸易试验区成都市高新区天府四街66号2栋22层1号 代理机构联系方式: 13111882553,四川省,医疗健康,四川国际招标有限责任公司,zhongbiao_1767003962_2.txt,zhongbiao
SXSW-ZFCG-2025036,国家税务总局陕西省税务局2025年互联网不动产登记集成办税、纳税缴费服务热线等系统运行维护项目中标公告,SXSW-ZFCG-2025036,国家税务总局陕西省税务局2025年互联网不动产登记集成办税、纳税缴费服务热线等系统运行维护项目,国家税务总局陕西省税务局,西安市二环南路西段39号,苗晓鹏029-87695195,,北京市昌平区昌盛路18号,姚立涛、吕浩岳、安维霞,服务,服务要求,1,详见合同,71.6580000（万元）,服务标准,公开招标,2025年12月29日 18:16,2025年12月29日 18:16,代理机构联系方式: 姚立涛、吕浩岳、安维霞 02987515810,陕西省,服务业,,zhongbiao_1767003964_3.txt,zhongbiao
,咸宁国家高新区集成电路低碳产业园项目产业规划中标成交公告,,咸宁国家高新区集成电路低碳产业园项目产业规划中标成交公告,咸宁高新技术产业开发区管理委员会本级,,15071246203,中国电子工程设计院股份有限公司,海淀区,徐沫2.联系电话：027-877110813.各有关当事人对中标结果有异议的，可以在公告发布后7个工作日内以书面形式向湖北省成套招标股份有限公司提出质疑，逾期将不再受理。,其他,咸宁国家高新区集成电路低碳产业园项目产业规划,1,详见合同,113.000000,自合同签订之日直至《咸宁国家高新区集成电路低碳产业园项目产业规划》评审通过。,公开招标,2025年12月29日 18:14,2025年12月29日 18:14,代理机构联系方式: 18186512170,湖北省,其他,,zhongbiao_1767003967_4.txt,zhongbiao
,交管支队公安经费警务辅助人员服务采购项目中标结果公告,,交管支队公安经费警务辅助人员服务采购项目中标结果公告,鄂州市公安局交通管理局,,0711-3752819,武汉新鲜人人力资源有限公司,武汉市洪山区吴家湾邮科中路民营高科技综合楼1栋,王馨怡、徐淦、胡小康,服务,详见招标文件,1,详见合同,2245.264,合同签订后1年，一年期满后采购人对成交人进行综合考核、评估，依据综合考评情况可续签下一年服务合同，如不满意，可解除合同，重新招标。最多续签一次。,公开招标,2025年12月29日 18:14,2025年12月29日 18:14,代理机构联系方式: 15971430746,湖北省,服务业,,zhongbiao_1767003969_5.txt,zhongbiao
SXSW-ZFCG-2025037,国家税务总局陕西省税务局2025年电子税务局坐席服务项目中标公告,SXSW-ZFCG-2025037,国家税务总局陕西省税务局2025年电子税务局坐席服务项目,国家税务总局陕西省税务局,西安市二环南路西段39号,苗晓鹏029-87695195,方欣科技有限公司,广州市黄埔区科学大道82-88号（双号）（C3）栋901房,姚立涛,服务,服务要求,1,详见合同,342.9800000（万元）,服务标准,公开招标,2025年12月29日 18:14,2025年12月29日 18:14,代理机构联系方式: 姚立涛、吕浩岳、安维霞 02987515810,陕西省,服务业,,zhongbiao_1767003971_6.txt,zhongbiao
YNZC2025-G1-07947-YNFY-0140,云南省五华监狱2026年罪犯生活物资采购（肉副食类）中标公告,YNZC2025-G1-07947-YNFY-0140,云南省五华监狱2026年罪犯生活物资采购（肉副食类）,云南省五华监狱,昆明市五华区普吉街道水节箐新村25号,0871-65336203,云南镇雪商贸有限公司,云南省昆明市官渡区双凤东路500号12幢6、7号,赵锡莲,其他,详见招标文件,1,详见合同,314.655800,详见合同,公开招标,2025年12月29日 18:13,2025年12月29日 18:13,云南省昆明市盘龙区白龙路149号市场监督管理干部学校教学楼六楼 代理机构联系方式: 19987841369,云南省,其他,,zhongbiao_1767003973_7.txt,zhongbiao
SXSW-ZFCG-2025035,国家税务总局陕西省税务局2025年管理决策支持核算与分析等系统运行维护项目中标公告,SXSW-ZFCG-2025035,国家税务总局陕西省税务局2025年管理决策支持核算与分析等系统运行维护项目,国家税务总局陕西省税务局,西安市二环南路西段39号,苗晓鹏029-87695195,,北京市海淀区西北旺东路10号院(东区)18号楼3层101-307,姚立涛、吕浩岳、安维霞,其他,服务要求,1,详见合同,334.5400000（万元）,服务标准,公开招标,2025年12月29日 18:13,2025年12月29日 18:13,代理机构联系方式: 姚立涛、吕浩岳、安维霞 02987515810,陕西省,软件开发,,zhongbiao_1767003976_8.txt,zhongbiao
3587-2512HQG31101,横琴粤澳深度合作区经济发展局2026年横琴口岸安检服务项目中标公告,3587-2512HQG31101,横琴粤澳深度合作区经济发展局2026年横琴口岸安检服务项目,横琴粤澳深度合作区经济发展局,,0756-8938963,,,黄工,服务范围,服务要求,1,详见合同,915.600000,服务标准,公开招标,2025年12月29日 18:13,2025年12月29日 18:13,代理机构联系方式: 020-83224833,广东省,服务业,,zhongbiao_1767003977_9.txt,zhongbiao
1411282025CGK00083,吕梁市吕梁山西麓三北工程林草湿荒一体化保护修复项目方山县2025年中幼林抚育结果公告,1411282025CGK00083,吕梁市吕梁山西麓三北工程林草湿荒一体化保护修复项目方山县2025年中幼林抚育,方山县林业局,,0358-6022124,,,张女士、刘先生,工程,服务要求,1,详见合同,79.960000,服务标准,公开招标,2025年12月29日 18:12,2025年12月29日 18:12,代理机构联系方式: 0351-6123198,山西省,建筑工程,,zhongbiao_1767003979_10.txt,zhongbiao
